# default s1 SPL 4x
freq,value
35,102.5
36.92,102.8
38.94,103.1
41.07,103.3
43.33,103.5
45.7,103.9
48.2,104.6
50.84,105.3
53.63,105.9
56.57,106.3
59.67,106.6
62.94,106.7
66.39,106.8
70.02,106.9
73.86,106.9
77.91,107
82.18,107
86.68,107
91.43,107.1
96.44,107.1
101.72,107.1
107.3,107.2
113.18,107.5
119.38,107.6
125.92,107.7
132.82,107.6
140.1,107.5
147.77,107.4
155.87,107.3
164.41,107.3
173.42,107.5
182.92,107.7
192.95,107.9
203.52,108
214.67,108
226.43,107.6
238.84,107.2
251.93,106.8
265.73,106.6
280.29,106.6
295.65,106.5
311.85,106.1
328.94,105.6
346.96,105.4
365.97,105.7
386.03,106.2
407.18,106.3
429.49,106.5
453.02,107.2
477.85,107.9
504.03,107.7
531.65,107.7
560.78,107.6
591.51,106.8
623.92,106.2
658.1,106.1
694.16,105.8
732.2,106.7
772.32,107.2
814.64,108
859.28,107.7
906.36,107.1
956.02,106
1008.41,106.2
1063.66,106.8
1121.95,107.8
1183.42,107.8
1248.27,106.6
1316.66,106
1388.81,107
1464.91,107.9
1545.18,107
1629.84,106.2
1719.15,107.4
1813.35,107.7
1912.71,106.2
2017.52,106.9
2128.06,107.7
2244.67,106.3
2367.66,107.4
2497.4,107
2634.24,106.7
2778.58,107.5
2930.83,106.5
3091.43,107.5
3260.82,106.6
3439.49,107.1
3627.96,107.3
3826.75,106.4
4036.43,107.5
4257.6,107.3
4490.9,106.4
4736.97,106.8
4996.53,107.4
5270.31,107.6
5559.09,107.5
5863.7,107.4
6185,107.4
6523.9,107.5
6881.37,107.5
7258.43,107
7656.15,106.5
8075.66,107.3
8518.16,107.1
8984.91,106.9
9477.23,107
9996.53,107.3
10544.28,106.7
11122.05,106.6
11731.47,106.7
12374.29,106.6
13052.33,106.5
13767.52,106.9
14521.9,106.9
15317.62,106.4
16156.94,106.2
17042.24,106.2
17976.06,105.8
18961.04,105
20000,103.8
