# default s1 SPL
freq,value
35,91.7
36.92,92.2
38.94,92.5
41.07,92.7
43.33,93
45.7,93.5
48.2,94.2
50.84,95
53.63,95.7
56.57,96.2
59.67,96.5
62.94,96.7
66.39,96.9
70.02,97.1
73.86,97.2
77.91,97.3
82.18,97.4
86.68,97.6
91.43,97.7
96.44,97.8
101.72,97.9
107.3,98
113.18,98.5
119.38,98.7
125.92,98.7
132.82,98.7
140.1,98.7
147.77,98.8
155.87,98.9
164.41,99.2
173.42,99.5
182.92,100
192.95,100.5
203.52,100.8
214.67,100.8
226.43,100.7
238.84,100.6
251.93,100.6
265.73,100.8
280.29,101
295.65,100.9
311.85,100.4
328.94,99.8
346.96,99.6
365.97,99.8
386.03,99.7
407.18,99.5
429.49,99.5
453.02,100.2
477.85,100.8
504.03,100.9
531.65,101.4
560.78,101.8
591.51,101.3
623.92,101.7
658.1,101.3
694.16,100.7
732.2,101.1
772.32,101.4
814.64,102.6
859.28,103
906.36,103.4
956.02,102.7
1008.41,102.6
1063.66,102.9
1121.95,103.9
1183.42,104.9
1248.27,104.1
1316.66,102.4
1388.81,101.6
1464.91,101.9
1545.18,101.1
1629.84,99
1719.15,98.2
1813.35,98.3
1912.71,96.3
2017.52,94.7
2128.06,94.9
2244.67,92.7
2367.66,91.5
2497.4,91
2634.24,88.4
2778.58,88.5
2930.83,85.8
3091.43,85.7
3260.82,83
3439.49,82.8
3627.96,80.7
3826.75,79.4
4036.43,78.7
4257.6,76.5
4490.9,74.9
4736.97,74.2
4996.53,73.2
5270.31,71.5
5559.09,69.9
5863.7,68.4
6185,67
6523.9,65.8
6881.37,64.7
7258.43,63.2
7656.15,61.2
8075.66,60
8518.16,59.1
8984.91,56.9
9477.23,56.2
9996.53,54.5
10544.28,52.8
11122.05,51.6
11731.47,50.4
12374.29,49
13052.33,47.3
13767.52,46
14521.9,45.1
15317.62,43.1
16156.94,42.1
17042.24,40.9
17976.06,39.5
18961.04,38.1
20000,36.4
