# default s1 SPL
freq,value
35,92.4
36.92,92.8
38.94,93.1
41.07,93.3
43.33,93.6
45.7,94.1
48.2,94.8
50.84,95.6
53.63,96.2
56.57,96.7
59.67,97
62.94,97.2
66.39,97.3
70.02,97.4
73.86,97.5
77.91,97.6
82.18,97.7
86.68,97.7
91.43,97.8
96.44,97.8
101.72,97.9
107.3,97.9
113.18,97.6
119.38,97.8
125.92,98
132.82,98.3
140.1,98.6
147.77,98.8
155.87,99
164.41,99.2
173.42,99.2
182.92,99.2
192.95,99.3
203.52,99.5
214.67,100
226.43,100.5
238.84,100.9
251.93,101
265.73,100.9
280.29,100.7
295.65,100.8
311.85,100.9
328.94,101
346.96,100.6
365.97,100
386.03,99.7
407.18,99.8
429.49,99.8
453.02,99.6
477.85,99.9
504.03,100.7
531.65,101
560.78,101.2
591.51,101.8
623.92,101.4
658.1,100.9
694.16,100.6
732.2,99.8
772.32,100.2
814.64,100.4
859.28,101.5
906.36,101.6
956.02,101.5
1008.41,100.5
1063.66,100.1
1121.95,100.6
1183.42,101.4
1248.27,101.6
1316.66,100.8
1388.81,100.3
1464.91,101
1545.18,101.7
1629.84,100.8
1719.15,100.2
1813.35,101.4
1912.71,101.4
2017.52,100.3
2128.06,101.3
2244.67,101.1
2367.66,100.5
2497.4,101.6
2634.24,100.4
2778.58,101.5
2930.83,100.5
3091.43,101.5
3260.82,100.5
3439.49,101.6
3627.96,100.4
3826.75,101.1
4036.43,101.4
4257.6,100.4
4490.9,100.9
4736.97,101.5
4996.53,101.4
5270.31,101
5559.09,100.7
5863.7,100.6
6185,100.7
6523.9,100.9
6881.37,101.2
7258.43,101.4
7656.15,101
8075.66,100.6
8518.16,101.4
8984.91,100.6
9477.23,101.3
9996.53,100.8
10544.28,100.7
11122.05,101.1
11731.47,101.2
12374.29,101.1
13052.33,100.8
13767.52,100.5
14521.9,100.9
15317.62,100.3
16156.94,100.5
17042.24,100.1
17976.06,99.5
18961.04,99
20000,98.1
