# default rew SPL
freq,value
35,62.1
36.92,64.4
38.94,66.8
41.07,69.1
43.33,71.2
45.7,73.5
48.2,76.1
50.84,78.1
53.63,80.6
56.57,82.6
59.67,84.9
62.94,86.7
66.39,89.3
70.02,91.3
73.86,93.5
77.91,95.2
82.18,97.5
86.68,99
91.43,100.9
96.44,102.2
101.72,103.2
107.3,103.9
113.18,104.4
119.38,104.6
125.92,104.8
132.82,105.5
140.1,105.4
147.77,105.8
155.87,105.5
164.41,105.7
173.42,106
182.92,105.8
192.95,106.4
203.52,106
214.67,106.5
226.43,106.7
238.84,106.5
251.93,106.4
265.73,106.1
280.29,105.7
295.65,105.5
311.85,105.3
328.94,104.3
346.96,103.5
365.97,102.2
386.03,100.5
407.18,99
429.49,96.8
453.02,94
477.85,91.5
504.03,88.7
531.65,86.6
560.78,84.2
591.51,81.4
623.92,79.2
658.1,76.4
694.16,74
732.2,72.2
772.32,69.9
814.64,66.9
859.28,63.6
906.36,61.2
956.02,58.3
1008.41,55
1063.66,52.4
1121.95,50.8
1183.42,48.8
1248.27,46.3
1316.66,43.1
1388.81,39.8
1464.91,37.3
1545.18,35.2
1629.84,33.2
1719.15,31.1
1813.35,28
1912.71,24
2017.52,21.2
2128.06,18.9
2244.67,15.5
2367.66,11.6
2497.4,9.1
2634.24,6.9
2778.58,2.7
2930.83,-0.1
3091.43,-2.3
3260.82,-6
3439.49,-8.4
3627.96,-11.2
3826.75,-14.7
4036.43,-16.1
4257.6,-20.2
4490.9,-21.9
4736.97,-25.6
4996.53,-27.5
5270.31,-30.9
5559.09,-33.9
5863.7,-35.9
6185,-39.1
6523.9,-42.1
6881.37,-44.8
7258.43,-47.1
7656.15,-49.6
8075.66,-51.9
8518.16,-53.5
8984.91,-54.6
9477.23,-56.2
9996.53,-57.2
10544.28,-59.3
11122.05,-60.9
11731.47,-61.9
12374.29,-63.3
13052.33,-64.8
13767.52,-66.3
14521.9,-67.2
15317.62,-68.9
16156.94,-70.5
17042.24,-71.8
17976.06,-73.3
18961.04,-74.5
20000,-75.7
