# default s1 SPL
freq,value
35,60.8
36.92,63.1
38.94,65.4
41.07,67.7
43.33,70
45.7,72.3
48.2,74.6
50.84,76.9
53.63,79.2
56.57,81.4
59.67,83.7
62.94,86
66.39,88.3
70.02,90.5
73.86,92.7
77.91,94.9
82.18,96.9
86.68,98.8
91.43,100.5
96.44,101.9
101.72,103
107.3,103.9
113.18,104.4
119.38,104.8
125.92,105.1
132.82,105.3
140.1,105.5
147.77,105.6
155.87,105.7
164.41,105.8
173.42,106
182.92,106.1
192.95,106.2
203.52,106.3
214.67,106.4
226.43,106.5
238.84,106.5
251.93,106.4
265.73,106.2
280.29,105.9
295.65,105.5
311.85,105.1
328.94,104.4
346.96,103.5
365.97,102.3
386.03,100.8
407.18,98.8
429.49,96.5
453.02,94
477.85,91.5
504.03,88.9
531.65,86.5
560.78,84.1
591.51,81.6
623.92,79.1
658.1,76.6
694.16,74.3
732.2,72.2
772.32,69.9
814.64,67
859.28,63.8
906.36,61.2
956.02,58.2
1008.41,55.2
1063.66,52.5
1121.95,50.5
1183.42,48.6
1248.27,46.1
1316.66,43.3
1388.81,40.1
1464.91,37
1545.18,35.1
1629.84,33.4
1719.15,31.3
1813.35,28
1912.71,24.3
2017.52,21.4
2128.06,19.2
2244.67,15.5
2367.66,11.5
2497.4,8.9
2634.24,6.6
2778.58,2.8
2930.83,0
3091.43,-2
3260.82,-6
3439.49,-8.3
3627.96,-11
3826.75,-14.4
4036.43,-16.3
4257.6,-20.1
4490.9,-21.9
4736.97,-25.6
4996.53,-27.8
5270.31,-30.6
5559.09,-34
5863.7,-35.9
6185,-39.1
6523.9,-42.4
6881.37,-44.8
7258.43,-47.1
7656.15,-49.8
8075.66,-51.9
8518.16,-53.4
8984.91,-54.7
9477.23,-56.1
9996.53,-57.5
10544.28,-59.3
11122.05,-60.9
11731.47,-61.7
12374.29,-63.4
13052.33,-64.8
13767.52,-66.3
14521.9,-67.3
15317.62,-69
16156.94,-70.6
17042.24,-72
17976.06,-73.4
18961.04,-74.6
20000,-75.7
