# default rew SPL
freq,value
35,65
36.92,66.8
38.94,69
41.07,71.5
43.33,73.8
45.7,75.8
48.2,78.1
50.84,80.5
53.63,82.3
56.57,84.7
59.67,86.8
62.94,88.8
66.39,90.7
70.02,92.5
73.86,94.2
77.91,95.5
82.18,96.6
86.68,97.5
91.43,98.2
96.44,98.9
101.72,99.4
107.3,99.3
113.18,99.7
119.38,99.8
125.92,99.9
132.82,99.9
140.1,100
147.77,100.1
155.87,100
164.41,100.1
173.42,99.8
182.92,100.2
192.95,99.9
203.52,99.7
214.67,99.5
226.43,99.5
238.84,99.2
251.93,98.7
265.73,98.1
280.29,97.4
295.65,96.7
311.85,95.5
328.94,93.8
346.96,92
365.97,90.3
386.03,87.4
407.18,84.8
429.49,82.5
453.02,80.2
477.85,77.3
504.03,74.5
531.65,71.9
560.78,69
591.51,66.2
623.92,63.8
658.1,61.3
694.16,58.7
732.2,56.5
772.32,54.2
814.64,51.4
859.28,48.2
906.36,45.5
956.02,42.9
1008.41,39.6
1063.66,37
1121.95,35
1183.42,32.9
1248.27,30.1
1316.66,27.8
1388.81,24.5
1464.91,21.8
1545.18,18.9
1629.84,17.4
1719.15,15.1
1813.35,12.2
1912.71,8.8
2017.52,5.9
2128.06,3.3
2244.67,-0.3
2367.66,-4.4
2497.4,-6.7
2634.24,-8.8
2778.58,-12.5
2930.83,-15.9
3091.43,-17.6
3260.82,-21.2
3439.49,-23.7
3627.96,-26.8
3826.75,-29.7
4036.43,-31.7
4257.6,-35.8
4490.9,-37.6
4736.97,-41.1
4996.53,-43.1
5270.31,-46.2
5559.09,-49.2
5863.7,-51.3
6185,-54.6
6523.9,-58
6881.37,-58.9
7258.43,-59.9
7656.15,-61.2
8075.66,-62.8
8518.16,-64.1
8984.91,-65.5
9477.23,-66.9
9996.53,-68
10544.28,-69.7
11122.05,-71.3
11731.47,-72.8
12374.29,-73.8
13052.33,-75.8
13767.52,-76.8
14521.9,-78
15317.62,-79.9
16156.94,-81.6
17042.24,-82.4
17976.06,-83.8
18961.04,-85.6
20000,-86.6
