# default s1 phase
freq,value
35,107.7
36.92,113.8
38.94,120.2
41.07,126.9
43.33,134
45.7,141.5
48.2,149.4
50.84,148
53.63,143.3
56.57,138.4
59.67,133.2
62.94,127.7
66.39,121.9
70.02,115.9
73.86,108.8
77.91,97.7
82.18,86
86.68,73.6
91.43,60.6
96.44,46.9
101.72,35.5
107.3,24.5
113.18,12.9
119.38,0.6
125.92,-9.7
132.82,-18.7
140.1,-28.3
147.77,-38.2
155.87,-48.5
164.41,-59.3
173.42,-70.4
182.92,-80.9
192.95,-92
203.52,-104.8
214.67,-118.6
226.43,-132.1
238.84,-145.5
251.93,-160.1
265.73,-175.7
280.29,-191.3
295.65,-207.7
311.85,-225.9
328.94,-243.6
346.96,-261.1
365.97,-278.9
386.03,-293.3
407.18,-306.8
429.49,-318.5
453.02,-329.6
477.85,-340.1
504.03,-350
531.65,-358.1
560.78,-364.3
591.51,-367.6
623.92,-372.1
658.1,-377.9
694.16,-383.7
732.2,-388.7
772.32,-393.9
814.64,-400.5
859.28,-405.8
906.36,-409.2
956.02,-412.3
1008.41,-413.5
1063.66,-412.2
1121.95,-411.5
1183.42,-414.1
1248.27,-417.8
1316.66,-422.3
1388.81,-424.2
1464.91,-422
1545.18,-419.3
1629.84,-420.1
1719.15,-426.1
1813.35,-432
1912.71,-433.2
2017.52,-430
2128.06,-430.6
2244.67,-433.3
2367.66,-429.1
2497.4,-421.1
2634.24,-419.3
2778.58,-416.8
2930.83,-408.4
3091.43,-404.7
3260.82,-400.1
3439.49,-391.8
3627.96,-387
3826.75,-378.5
4036.43,-370.9
4257.6,-362.8
4490.9,-353.4
4736.97,-344.1
4996.53,-332.6
5270.31,-322.6
5559.09,-307.8
5863.7,-293.8
6185,-279.9
6523.9,-257.5
6881.37,-234.2
7258.43,-216.8
7656.15,-201.4
8075.66,-185.4
8518.16,-168.2
8984.91,-150.5
9477.23,-132.7
9996.53,-114.3
10544.28,-93.7
11122.05,-68.5
11731.47,-41.4
12374.29,-9.1
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
