# default s1 power compression
freq,value
35,61
36.92,63.3
38.94,65.5
41.07,67.8
43.33,70.1
45.7,72.3
48.2,74.6
50.84,76.8
53.63,79
56.57,81.2
59.67,83.4
62.94,85.5
66.39,87.6
70.02,89.5
73.86,91.2
77.91,92.7
82.18,93.9
86.68,94.7
91.43,95.3
96.44,95.7
101.72,96
107.3,96.1
113.18,96.2
119.38,96.2
125.92,96.2
132.82,96.3
140.1,96.3
147.77,96.3
155.87,96.3
164.41,96.3
173.42,96.3
182.92,96.3
192.95,96.3
203.52,96.3
214.67,96
226.43,95.7
238.84,95.3
251.93,94.8
265.73,94.2
280.29,93.6
295.65,92.7
311.85,91.6
328.94,90.1
346.96,88.3
365.97,86.2
386.03,83.7
407.18,81.2
429.49,78.6
453.02,76.1
477.85,73.5
504.03,70.7
531.65,67.7
560.78,64.7
591.51,62
623.92,59.7
658.1,57.4
694.16,54.9
732.2,52.4
772.32,50
814.64,47.5
859.28,44.4
906.36,41.6
956.02,38.7
1008.41,35.7
1063.66,32.9
1121.95,30.8
1183.42,28.7
1248.27,26.3
1316.66,23.8
1388.81,20.4
1464.91,17.6
1545.18,15.2
1629.84,13.6
1719.15,11.4
1813.35,8.4
1912.71,4.6
2017.52,1.6
2128.06,-0.6
2244.67,-4.1
2367.66,-8.2
2497.4,-10.8
2634.24,-13
2778.58,-16.7
2930.83,-19.7
3091.43,-21.7
3260.82,-25.4
3439.49,-27.9
3627.96,-30.5
3826.75,-34
4036.43,-35.9
4257.6,-39.6
4490.9,-41.6
4736.97,-45.1
4996.53,-47.3
5270.31,-50.4
5559.09,-53.4
5863.7,-55.5
6185,-58.7
6523.9,-61.8
6881.37,-62.8
7258.43,-63.9
7656.15,-65.2
8075.66,-66.7
8518.16,-68.2
8984.91,-69.5
9477.23,-70.8
9996.53,-72.3
10544.28,-73.9
11122.05,-75.6
11731.47,-76.5
12374.29,-78.1
13052.33,-79.5
13767.52,-81
14521.9,-82
15317.62,-83.7
16156.94,-85.3
17042.24,-86.6
17976.06,-88
18961.04,-89.3
20000,-90.4
