# default s1 SPL 2x
freq,value
35,69.2
36.92,71.5
38.94,73.7
41.07,76
43.33,78.3
45.7,80.6
48.2,82.8
50.84,85.1
53.63,87.4
56.57,89.6
59.67,91.8
62.94,93.9
66.39,96
70.02,97.9
73.86,99.6
77.91,101.1
82.18,102.3
86.68,103.1
91.43,103.8
96.44,104.1
101.72,104.4
107.3,104.5
113.18,104.5
119.38,104.6
125.92,104.5
132.82,104.5
140.1,104.5
147.77,104.5
155.87,104.4
164.41,104.4
173.42,104.4
182.92,104.3
192.95,104.2
203.52,104.2
214.67,103.9
226.43,103.5
238.84,103
251.93,102.5
265.73,101.9
280.29,101.2
295.65,100.3
311.85,99.1
328.94,97.6
346.96,95.8
365.97,93.6
386.03,91.1
407.18,88.5
429.49,85.9
453.02,83.4
477.85,80.7
504.03,77.9
531.65,74.9
560.78,71.9
591.51,69.2
623.92,66.9
658.1,64.6
694.16,62.1
732.2,59.5
772.32,57.1
814.64,54.6
859.28,51.5
906.36,48.7
956.02,45.8
1008.41,42.8
1063.66,39.9
1121.95,37.9
1183.42,35.8
1248.27,33.4
1316.66,30.8
1388.81,27.4
1464.91,24.7
1545.18,22.2
1629.84,20.7
1719.15,18.4
1813.35,15.4
1912.71,11.6
2017.52,8.6
2128.06,6.4
2244.67,2.9
2367.66,-1.1
2497.4,-3.8
2634.24,-6
2778.58,-9.7
2930.83,-12.7
3091.43,-14.7
3260.82,-18.4
3439.49,-20.9
3627.96,-23.5
3826.75,-27
4036.43,-28.9
4257.6,-32.6
4490.9,-34.5
4736.97,-38.1
4996.53,-40.3
5270.31,-43.3
5559.09,-46.4
5863.7,-48.5
6185,-51.7
6523.9,-54.8
6881.37,-55.8
7258.43,-56.9
7656.15,-58.2
8075.66,-59.7
8518.16,-61.2
8984.91,-62.5
9477.23,-63.8
9996.53,-65.2
10544.28,-66.9
11122.05,-68.6
11731.47,-69.5
12374.29,-71.1
13052.33,-72.5
13767.52,-73.9
14521.9,-75
15317.62,-76.7
16156.94,-78.3
17042.24,-79.6
17976.06,-81
18961.04,-82.3
20000,-83.4
