# default s1 SPL
freq,value
35,67.2
36.92,69.5
38.94,71.8
41.07,74.1
43.33,76.5
45.7,78.7
48.2,81
50.84,83.3
53.63,85.5
56.57,87.6
59.67,89.6
62.94,91.5
66.39,93.1
70.02,94.4
73.86,95.4
77.91,96.2
82.18,96.7
86.68,97
91.43,97.3
96.44,97.4
101.72,97.5
107.3,97.6
113.18,97.7
119.38,97.8
125.92,97.8
132.82,97.9
140.1,98
147.77,98
155.87,98
164.41,98
173.42,97.9
182.92,98.1
192.95,97.8
203.52,97.3
214.67,96.7
226.43,96
238.84,95.1
251.93,94.2
265.73,93
280.29,91.7
295.65,90.1
311.85,88.2
328.94,85.9
346.96,83.4
365.97,80.7
386.03,78
407.18,75.5
429.49,72.9
453.02,70.2
477.85,67.3
504.03,64.3
531.65,61.6
560.78,59.3
591.51,57
623.92,54.4
658.1,51.7
694.16,49.4
732.2,47
772.32,44
814.64,40.9
859.28,38
906.36,35.2
956.02,32.1
1008.41,29.8
1063.66,27.2
1121.95,25.1
1183.42,22.7
1248.27,19.9
1316.66,16.8
1388.81,13.7
1464.91,11.1
1545.18,9.2
1629.84,7.1
1719.15,4.5
1813.35,1
1912.71,-2.2
2017.52,-4.5
2128.06,-7.1
2244.67,-10.9
2367.66,-14.4
2497.4,-16.6
2634.24,-19.4
2778.58,-23.1
2930.83,-25.4
3091.43,-27.9
3260.82,-31.6
3439.49,-33.6
3627.96,-36.9
3826.75,-39.6
4036.43,-42.2
4257.6,-45.3
4490.9,-47.7
4736.97,-50.8
4996.53,-53.7
5270.31,-56
5559.09,-59.5
5863.7,-60.5
6185,-61.8
6523.9,-63.7
6881.37,-65.1
7258.43,-66.2
7656.15,-67.4
8075.66,-68.7
8518.16,-70.1
8984.91,-71.5
9477.23,-73
9996.53,-74.5
10544.28,-76.2
11122.05,-77.5
11731.47,-78.5
12374.29,-80.3
13052.33,-81.4
13767.52,-83.1
14521.9,-84.1
15317.62,-85.6
16156.94,-87.2
17042.24,-88.7
17976.06,-90
18961.04,-91.2
20000,-92.5
