# default s1 SPL
freq,value
35,66.6
36.92,69
38.94,71.3
41.07,73.7
43.33,76
45.7,78.3
48.2,80.7
50.84,83
53.63,85.3
56.57,87.6
59.67,89.8
62.94,91.9
66.39,94
70.02,95.8
73.86,97.4
77.91,98.7
82.18,99.7
86.68,100.4
91.43,100.9
96.44,101.3
101.72,101.5
107.3,101.7
113.18,101.8
119.38,101.9
125.92,102
132.82,102
140.1,102.1
147.77,102.1
155.87,102.1
164.41,102.1
173.42,102
182.92,101.9
192.95,101.4
203.52,101.2
214.67,101
226.43,100.7
238.84,100.2
251.93,99.4
265.73,98.4
280.29,97.1
295.65,95.4
311.85,93.5
328.94,91.4
346.96,89.3
365.97,87.2
386.03,85
407.18,82.8
429.49,80.4
453.02,77.8
477.85,75.2
504.03,72.8
531.65,70.6
560.78,68.4
591.51,65.8
623.92,63
658.1,60.2
694.16,57.5
732.2,54.5
772.32,51.2
814.64,48
859.28,45.4
906.36,43.3
956.02,40.8
1008.41,38.7
1063.66,36.4
1121.95,33.5
1183.42,30.7
1248.27,27.3
1316.66,24.6
1388.81,22.2
1464.91,20.4
1545.18,18.2
1629.84,15.5
1719.15,12.2
1813.35,9.5
1912.71,7.2
2017.52,4.4
2128.06,0.7
2244.67,-3
2367.66,-5.4
2497.4,-8.1
2634.24,-11.9
2778.58,-14.7
2930.83,-16.8
3091.43,-20.6
3260.82,-23.1
3439.49,-25.5
3627.96,-29.1
3826.75,-31
4036.43,-34.7
4257.6,-36.6
4490.9,-40.3
4736.97,-42.2
4996.53,-45.8
5270.31,-48
5559.09,-51
5863.7,-54.1
6185,-56.2
6523.9,-57.6
6881.37,-59.5
7258.43,-61
7656.15,-62.2
8075.66,-63.4
8518.16,-64.8
8984.91,-66.2
9477.23,-67.7
9996.53,-69.3
10544.28,-70.6
11122.05,-71.6
11731.47,-73.1
12374.29,-74.7
13052.33,-75.7
13767.52,-77.5
14521.9,-78.8
15317.62,-79.9
16156.94,-81.3
17042.24,-82.8
17976.06,-84.2
18961.04,-85.5
20000,-87.1
