# alt-18s hr SPL
freq,value
35,62.9
36.92,65.2
38.94,67.5
41.07,69.9
43.33,72.2
45.7,74.5
48.2,76.8
50.84,79.2
53.63,81.5
56.57,83.8
59.67,86.1
62.94,88.4
66.39,90.7
70.02,93
73.86,95.2
77.91,97.4
82.18,99.5
86.68,101.4
91.43,103.1
96.44,104.6
101.72,105.7
107.3,106.6
113.18,107.2
119.38,107.5
125.92,107.7
132.82,107.8
140.1,107.9
147.77,107.8
155.87,107.8
164.41,107.7
173.42,107.6
182.92,107.5
192.95,107.4
203.52,107.2
214.67,107
226.43,106.8
238.84,106.6
251.93,106.5
265.73,106.3
280.29,106
295.65,105.5
311.85,104.9
328.94,104.1
346.96,103.2
365.97,102.1
386.03,100.9
407.18,99.7
429.49,98.3
453.02,96.7
477.85,94.9
504.03,92.7
531.65,90.1
560.78,87.3
591.51,84.4
623.92,81.5
658.1,78.6
694.16,75.5
732.2,72.5
772.32,69.6
814.64,67.3
859.28,65.4
906.36,63.8
956.02,61.2
1008.41,58.4
1063.66,55.4
1121.95,52
1183.42,48.7
1248.27,46.4
1316.66,44.5
1388.81,42.6
1464.91,40.3
1545.18,36.9
1629.84,33.7
1719.15,31.4
1813.35,29.7
1912.71,27.2
2017.52,23.1
2128.06,19.2
2244.67,17
2367.66,14.5
2497.4,10.4
2634.24,7.3
2778.58,5.5
2930.83,1.9
3091.43,-1.3
3260.82,-2.9
3439.49,-7
3627.96,-9.1
3826.75,-12
4036.43,-15.2
4257.6,-17.4
4490.9,-20.8
4736.97,-23.2
4996.53,-26
5270.31,-29.3
5559.09,-31.1
5863.7,-34.7
6185,-37.6
6523.9,-39.6
6881.37,-42.4
7258.43,-45.7
7656.15,-48.8
8075.66,-51.2
8518.16,-52.6
8984.91,-54
9477.23,-55.3
9996.53,-56.5
10544.28,-57.4
11122.05,-58.9
11731.47,-60.9
12374.29,-61.6
13052.33,-63.5
13767.52,-64.4
14521.9,-66.4
15317.62,-67.6
16156.94,-68.6
17042.24,-70
17976.06,-71.4
18961.04,-73
20000,-74.7
