# default s1 SPL
freq,value
35,78.1
36.92,80.5
38.94,82.8
41.07,85.1
43.33,87.4
45.7,89.7
48.2,91.9
50.84,94
53.63,96
56.57,97.8
59.67,99.3
62.94,100.6
66.39,101.5
70.02,102.2
73.86,102.6
77.91,102.9
82.18,103.2
86.68,103.3
91.43,103.4
96.44,103.5
101.72,103.6
107.3,103.6
113.18,103.7
119.38,103.7
125.92,103.7
132.82,103.6
140.1,103.6
147.77,103.4
155.87,103.5
164.41,103.3
173.42,102.9
182.92,102.3
192.95,101.4
203.52,100.4
214.67,99.1
226.43,97.7
238.84,96.2
251.93,94.6
265.73,92.8
280.29,90.7
295.65,88.4
311.85,85.8
328.94,83.1
346.96,80.3
365.97,77.8
386.03,75.5
407.18,73.2
429.49,70.7
453.02,68
477.85,65.5
504.03,63.3
531.65,61.2
560.78,58.6
591.51,55.7
623.92,53.1
658.1,50.4
694.16,47
732.2,43.6
772.32,40.7
814.64,37.6
859.28,34.8
906.36,33.3
956.02,30.9
1008.41,28.9
1063.66,26.3
1121.95,23.3
1183.42,20
1248.27,16.7
1316.66,14
1388.81,12.3
1464.91,10.4
1545.18,8.2
1629.84,5
1719.15,1.5
1813.35,-0.9
1912.71,-2.7
2017.52,-5.6
2128.06,-9.9
2244.67,-13.3
2367.66,-15.3
2497.4,-18.3
2634.24,-22.4
2778.58,-24.6
2930.83,-27
3091.43,-31.1
3260.82,-32.9
3439.49,-35.9
3627.96,-39.3
3826.75,-41.1
4036.43,-45.2
4257.6,-46.6
4490.9,-50.6
4736.97,-52.2
4996.53,-55.8
5270.31,-56.5
5559.09,-57.8
5863.7,-60
6185,-60.7
6523.9,-61.8
6881.37,-63.8
7258.43,-65.5
7656.15,-66.8
8075.66,-68
8518.16,-69.3
8984.91,-70.8
9477.23,-72.3
9996.53,-73.8
10544.28,-74.9
11122.05,-75.8
11731.47,-77.7
12374.29,-79
13052.33,-80.2
13767.52,-81.8
14521.9,-83.4
15317.62,-84.3
16156.94,-85.6
17042.24,-87.1
17976.06,-88.5
18961.04,-89.9
20000,-91.6
