# alt-18s rew SPL
freq,value
35,58
36.92,59.8
38.94,62.1
41.07,64.5
43.33,66.9
45.7,69.2
48.2,71.4
50.84,73.9
53.63,76
56.57,78.3
59.67,80.8
62.94,82.9
66.39,85.1
70.02,87.2
73.86,89.5
77.91,91.7
82.18,93.5
86.68,95.3
91.43,97.3
96.44,98.6
101.72,99.4
107.3,100.8
113.18,101.5
119.38,102
125.92,102.2
132.82,102.2
140.1,102.3
147.77,102.4
155.87,102.6
164.41,102.2
173.42,102.6
182.92,102.4
192.95,102.1
203.52,101.8
214.67,102.1
226.43,101.6
238.84,101.5
251.93,100.7
265.73,100.3
280.29,100.1
295.65,99.6
311.85,98.5
328.94,98
346.96,97.5
365.97,96.3
386.03,95
407.18,93
429.49,91.6
453.02,89.3
477.85,87.4
504.03,85.6
531.65,83.8
560.78,81.4
591.51,79.2
623.92,76.1
658.1,73.2
694.16,70.2
732.2,66.8
772.32,64
814.64,60.9
859.28,58.3
906.36,57.2
956.02,55
1008.41,52.9
1063.66,50
1121.95,46.8
1183.42,44
1248.27,40.6
1316.66,38
1388.81,36.8
1464.91,34.5
1545.18,32.6
1629.84,29.2
1719.15,26.3
1813.35,23.8
1912.71,21.6
2017.52,18.8
2128.06,14
2244.67,11
2367.66,8.9
2497.4,5.4
2634.24,1.5
2778.58,-0.7
2930.83,-3.6
3091.43,-7.3
3260.82,-9.5
3439.49,-12.6
3627.96,-15.7
3826.75,-17.7
4036.43,-21.6
4257.6,-23.5
4490.9,-26.8
4736.97,-28.8
4996.53,-32.6
5270.31,-34.6
5559.09,-37.4
5863.7,-41.1
6185,-43.3
6523.9,-45.6
6881.37,-49
7258.43,-51.8
7656.15,-54.6
8075.66,-57.1
8518.16,-58.4
8984.91,-59.8
9477.23,-61
9996.53,-62.9
10544.28,-63.8
11122.05,-64.7
11731.47,-66.6
12374.29,-67.7
13052.33,-69.4
13767.52,-70.4
14521.9,-72.6
15317.62,-73.3
16156.94,-74.6
17042.24,-75.8
17976.06,-77.6
18961.04,-79.1
20000,-80.7
