# default s1 SPL
freq,value
35,72.3
36.92,74.6
38.94,76.8
41.07,79.1
43.33,81.4
45.7,83.5
48.2,85.7
50.84,87.7
53.63,89.6
56.57,91.4
59.67,92.8
62.94,94
66.39,94.8
70.02,95.4
73.86,95.7
77.91,96
82.18,96.1
86.68,96.1
91.43,96.1
96.44,96.1
101.72,96.1
107.3,96
113.18,95.9
119.38,95.9
125.92,95.8
132.82,95.7
140.1,95.5
147.77,95.4
155.87,94.9
164.41,94.7
173.42,94.5
182.92,94.2
192.95,93.8
203.52,93.2
214.67,92.3
226.43,91.1
238.84,89.6
251.93,88
265.73,86.2
280.29,84.5
295.65,82.7
311.85,80.9
328.94,78.8
346.96,76.4
365.97,73.8
386.03,71.2
407.18,68.6
429.49,66.1
453.02,63.5
477.85,60.4
504.03,57.1
531.65,54
560.78,51.2
591.51,48.3
623.92,45.1
658.1,42.5
694.16,40.3
732.2,37.8
772.32,35.5
814.64,33.4
859.28,30.7
906.36,28.1
956.02,25.1
1008.41,21.5
1063.66,18.6
1121.95,15.8
1183.42,13.9
1248.27,11.8
1316.66,9.8
1388.81,6.6
1464.91,3.3
1545.18,0.4
1629.84,-1.8
1719.15,-3.3
1813.35,-5.8
1912.71,-9.7
2017.52,-13.4
2128.06,-15.7
2244.67,-18.2
2367.66,-22.2
2497.4,-25.6
2634.24,-27.3
2778.58,-30.4
2930.83,-34.3
3091.43,-36
3260.82,-39.2
3439.49,-42.6
3627.96,-44.3
3826.75,-48.4
4036.43,-49.9
4257.6,-53.8
4490.9,-55.5
4736.97,-59.5
4996.53,-60.7
5270.31,-63.1
5559.09,-64.2
5863.7,-65
6185,-67.3
6523.9,-68.6
6881.37,-69.4
7258.43,-70.6
7656.15,-72.2
8075.66,-73.8
8518.16,-75.4
8984.91,-76.7
9477.23,-77.9
9996.53,-79.1
10544.28,-80.6
11122.05,-82.5
11731.47,-83.6
12374.29,-84.8
13052.33,-86.6
13767.52,-87.6
14521.9,-89
15317.62,-90.8
16156.94,-92.2
17042.24,-93.5
17976.06,-94.9
18961.04,-96.4
20000,-97.4
