# default s1 SPL
freq,value
35,71.2
36.92,73.5
38.94,75.8
41.07,78.2
43.33,80.5
45.7,82.8
48.2,85.2
50.84,87.5
53.63,89.7
56.57,91.9
59.67,94
62.94,96
66.39,97.7
70.02,99.2
73.86,100.3
77.91,101.2
82.18,101.8
86.68,102.3
91.43,102.6
96.44,102.8
101.72,102.9
107.3,103
113.18,103.1
119.38,103.1
125.92,103.2
132.82,103.2
140.1,103.2
147.77,103.2
155.87,103.1
164.41,103
173.42,102.9
182.92,102.7
192.95,102.5
203.52,102.2
214.67,101.6
226.43,100.8
238.84,99.8
251.93,98.5
265.73,96.9
280.29,95.3
295.65,93.6
311.85,91.8
328.94,89.9
346.96,87.8
365.97,85.6
386.03,83.1
407.18,80.6
429.49,78.1
453.02,75.9
477.85,73.7
504.03,71.3
531.65,68.5
560.78,65.5
591.51,62.6
623.92,59.9
658.1,56.8
694.16,53.6
732.2,50.8
772.32,49.1
814.64,46.7
859.28,44.2
906.36,42.1
956.02,39.3
1008.41,36.1
1063.66,33.3
1121.95,30.4
1183.42,28.4
1248.27,26.4
1316.66,24.3
1388.81,21.5
1464.91,18.4
1545.18,15.6
1629.84,13.3
1719.15,10.1
1813.35,6.3
1912.71,2.8
2017.52,0.2
2128.06,-2.7
2244.67,-6.4
2367.66,-8.9
2497.4,-11.3
2634.24,-15
2778.58,-17.4
2930.83,-20
3091.43,-23.5
3260.82,-25.5
3439.49,-29.2
3627.96,-31.1
3826.75,-34.8
4036.43,-36.7
4257.6,-40.3
4490.9,-42.5
4736.97,-45.4
4996.53,-48.7
5270.31,-50.9
5559.09,-53.6
5863.7,-56.1
6185,-57.7
6523.9,-59
6881.37,-60.3
7258.43,-61.6
7656.15,-63
8075.66,-64.5
8518.16,-66
8984.91,-67.1
9477.23,-68.2
9996.53,-70
10544.28,-71.3
11122.05,-72.6
11731.47,-74
12374.29,-75.6
13052.33,-76.7
13767.52,-78
14521.9,-79.4
15317.62,-80.8
16156.94,-82.3
17042.24,-83.9
17976.06,-85.1
18961.04,-86.7
20000,-87.8
