# default s1 SPL 4x
freq,value
35,102.3
36.92,104.5
38.94,106.6
41.07,108.6
43.33,110.6
45.7,112.4
48.2,114
50.84,115.3
53.63,116.3
56.57,117
59.67,117.4
62.94,117.6
66.39,117.7
70.02,117.7
73.86,117.6
77.91,117.5
82.18,117.3
86.68,117.1
91.43,117
96.44,116.8
101.72,116.6
107.3,116.4
113.18,116.1
119.38,115.9
125.92,115.6
132.82,115.3
140.1,114.7
147.77,114.1
155.87,113.5
164.41,112.7
173.42,112
182.92,111.1
192.95,110.1
203.52,108.8
214.67,107.2
226.43,105.3
238.84,103.1
251.93,100.7
265.73,98.3
280.29,96
295.65,93.7
311.85,91.2
328.94,88.4
346.96,85.2
365.97,82.1
386.03,79.3
407.18,76.7
429.49,73.8
453.02,70.8
477.85,68
504.03,65.7
531.65,63.4
560.78,60.6
591.51,58
623.92,56.1
658.1,52.9
694.16,49.7
732.2,47
772.32,43.9
814.64,41.7
859.28,39.5
906.36,37.2
956.02,34.7
1008.41,31.6
1063.66,28.8
1121.95,26.4
1183.42,24.3
1248.27,21.9
1316.66,18.2
1388.81,14.5
1464.91,11.9
1545.18,9.3
1629.84,5.7
1719.15,2.2
1813.35,-0.1
1912.71,-2.8
2017.52,-6.4
2128.06,-8.7
2244.67,-11.4
2367.66,-14.8
2497.4,-16.7
2634.24,-20.4
2778.58,-22.6
2930.83,-25.8
3091.43,-28.2
3260.82,-31.5
3439.49,-33.6
3627.96,-37.1
3826.75,-39.3
4036.43,-42.2
4257.6,-44.7
4490.9,-45.8
4736.97,-46.9
4996.53,-48.4
5270.31,-50.1
5559.09,-51.7
5863.7,-53.1
6185,-54.4
6523.9,-55.7
6881.37,-56.9
7258.43,-58.1
7656.15,-59.7
8075.66,-61.4
8518.16,-62.3
8984.91,-64.1
9477.23,-65.1
9996.53,-66.9
10544.28,-68.2
11122.05,-69.4
11731.47,-70.7
12374.29,-72.1
13052.33,-73.6
13767.52,-75.2
14521.9,-76.3
15317.62,-77.9
16156.94,-79
17042.24,-80.5
17976.06,-82
18961.04,-83.3
20000,-84.7
