# default s1 SPL
freq,value
35,90.8
36.92,93.1
38.94,95.3
41.07,97.4
43.33,99.5
45.7,101.3
48.2,103
50.84,104.4
53.63,105.5
56.57,106.3
59.67,106.8
62.94,107.2
66.39,107.4
70.02,107.5
73.86,107.6
77.91,107.6
82.18,107.6
86.68,107.6
91.43,107.6
96.44,107.5
101.72,107.5
107.3,107.4
113.18,107.4
119.38,107.3
125.92,107.1
132.82,107
140.1,106.6
147.77,106.1
155.87,105.6
164.41,105
173.42,104.4
182.92,103.6
192.95,102.7
203.52,101.5
214.67,100.1
226.43,98.2
238.84,96.1
251.93,93.8
265.73,91.5
280.29,89.2
295.65,87
311.85,84.6
328.94,81.8
346.96,78.7
365.97,75.7
386.03,72.9
407.18,70.3
429.49,67.5
453.02,64.4
477.85,61.7
504.03,59.5
531.65,57.1
560.78,54.4
591.51,51.8
623.92,49.9
658.1,46.7
694.16,43.6
732.2,40.9
772.32,37.8
814.64,35.6
859.28,33.4
906.36,31.1
956.02,28.6
1008.41,25.5
1063.66,22.7
1121.95,20.4
1183.42,18.2
1248.27,15.9
1316.66,12.1
1388.81,8.5
1464.91,5.8
1545.18,3.3
1629.84,-0.3
1719.15,-3.9
1813.35,-6.1
1912.71,-8.9
2017.52,-12.5
2128.06,-14.7
2244.67,-17.5
2367.66,-20.8
2497.4,-22.8
2634.24,-26.4
2778.58,-28.6
2930.83,-31.8
3091.43,-34.2
3260.82,-37.5
3439.49,-39.6
3627.96,-43.1
3826.75,-45.4
4036.43,-48.2
4257.6,-50.8
4490.9,-51.9
4736.97,-52.9
4996.53,-54.4
5270.31,-56.1
5559.09,-57.7
5863.7,-59.1
6185,-60.5
6523.9,-61.7
6881.37,-62.9
7258.43,-64.1
7656.15,-65.7
8075.66,-67.4
8518.16,-68.3
8984.91,-70.2
9477.23,-71.1
9996.53,-72.9
10544.28,-74.2
11122.05,-75.4
11731.47,-76.7
12374.29,-78.1
13052.33,-79.6
13767.52,-81.2
14521.9,-82.3
15317.62,-84
16156.94,-85.1
17042.24,-86.6
17976.06,-88
18961.04,-89.3
20000,-90.7
