# default s1 SPL 8x
freq,value
35,102.3
36.92,104.4
38.94,106.5
41.07,108.6
43.33,110.5
45.7,112.3
48.2,113.8
50.84,115.1
53.63,116
56.57,116.7
59.67,117.1
62.94,117.3
66.39,117.3
70.02,117.3
73.86,117.2
77.91,117
82.18,116.9
86.68,116.7
91.43,116.6
96.44,116.4
101.72,116.2
107.3,116
113.18,115.8
119.38,115.6
125.92,115.4
132.82,114.8
140.1,114.4
147.77,114
155.87,113.6
164.41,113.1
173.42,112.4
182.92,111.6
192.95,110.4
203.52,108.9
214.67,107
226.43,104.7
238.84,102.3
251.93,99.9
265.73,97.4
280.29,94.9
295.65,92.2
311.85,89.1
328.94,85.9
346.96,82.7
365.97,79.8
386.03,77.3
407.18,74.8
429.49,72.1
453.02,69.6
477.85,67.5
504.03,65.4
531.65,62.6
560.78,59.6
591.51,56.7
623.92,54
658.1,50.3
694.16,47.6
732.2,45.1
772.32,42.8
814.64,41.3
859.28,38.7
906.36,35.9
956.02,32.4
1008.41,29.5
1063.66,27.2
1121.95,26
1183.42,23.6
1248.27,20.1
1316.66,16.1
1388.81,13.1
1464.91,11.2
1545.18,7.8
1629.84,3.5
1719.15,1
1813.35,-1
1912.71,-5.1
2017.52,-8
2128.06,-9.6
2244.67,-13.7
2367.66,-15.9
2497.4,-18.4
2634.24,-22.3
2778.58,-23.7
2930.83,-28
3091.43,-29.3
3260.82,-33.5
3439.49,-35.2
3627.96,-38.4
3826.75,-41.5
4036.43,-43.3
4257.6,-46.2
4490.9,-48.1
4736.97,-48.7
4996.53,-49.7
5270.31,-51.1
5559.09,-52.8
5863.7,-54.3
6185,-55.6
6523.9,-56.8
6881.37,-58.1
7258.43,-59.7
7656.15,-61.8
8075.66,-62.7
8518.16,-63.9
8984.91,-65.8
9477.23,-66.7
9996.53,-68.2
10544.28,-70.1
11122.05,-71.3
11731.47,-72.5
12374.29,-74
13052.33,-75.6
13767.52,-76.7
14521.9,-77.8
15317.62,-79.7
16156.94,-80.8
17042.24,-81.9
17976.06,-83.3
18961.04,-84.7
20000,-86.5
