# default s1 SPL
freq,value
35,82.1
36.92,84.3
38.94,86.6
41.07,88.9
43.33,91.1
45.7,93.2
48.2,95.3
50.84,97.2
53.63,99
56.57,100.4
59.67,101.6
62.94,102.5
66.39,103.1
70.02,103.5
73.86,103.7
77.91,103.9
82.18,104
86.68,104
91.43,104
96.44,104
101.72,104
107.3,103.9
113.18,103.9
119.38,103.8
125.92,103.8
132.82,103.7
140.1,103.6
147.77,103.8
155.87,103.6
164.41,103.2
173.42,102.7
182.92,102
192.95,101.2
203.52,100.2
214.67,99.2
226.43,98.1
238.84,96.8
251.93,95.3
265.73,93.5
280.29,91.4
295.65,89
311.85,86.3
328.94,83.7
346.96,81.2
365.97,78.7
386.03,75.9
407.18,72.9
429.49,69.7
453.02,66.9
477.85,64.5
504.03,62.1
531.65,59.4
560.78,56.8
591.51,54.5
623.92,52.7
658.1,49.6
694.16,46.6
732.2,43.8
772.32,40.8
814.64,38.3
859.28,36.4
906.36,34
956.02,31.8
1008.41,28.8
1063.66,26.1
1121.95,23.6
1183.42,21.6
1248.27,19
1316.66,15.8
1388.81,11.7
1464.91,8.7
1545.18,6.2
1629.84,2.7
1719.15,-1
1813.35,-3.4
1912.71,-5.9
2017.52,-9.5
2128.06,-12
2244.67,-14.6
2367.66,-18.1
2497.4,-20.1
2634.24,-23.6
2778.58,-26.1
2930.83,-29.1
3091.43,-31.6
3260.82,-34.8
3439.49,-37
3627.96,-40.5
3826.75,-42.7
4036.43,-45.6
4257.6,-48.8
4490.9,-51.2
4736.97,-53.4
4996.53,-55.1
5270.31,-56.7
5559.09,-58.2
5863.7,-59.6
6185,-61
6523.9,-62.4
6881.37,-63.5
7258.43,-64.7
7656.15,-66.2
8075.66,-67.9
8518.16,-68.9
8984.91,-70.7
9477.23,-71.6
9996.53,-73.4
10544.28,-74.7
11122.05,-75.9
11731.47,-77.2
12374.29,-78.6
13052.33,-80.1
13767.52,-81.8
14521.9,-82.9
15317.62,-84.5
16156.94,-85.6
17042.24,-87.1
17976.06,-88.6
18961.04,-89.9
20000,-91.2
