# default rew SPL
freq,value
35,94.4
36.92,95.1
38.94,95.1
41.07,95.8
43.33,96
45.7,96.4
48.2,96.6
50.84,97.1
53.63,97.5
56.57,97.8
59.67,97.5
62.94,98.3
66.39,98.6
70.02,98.8
73.86,98.6
77.91,98.9
82.18,99.3
86.68,98.9
91.43,99.4
96.44,99.2
101.72,99.8
107.3,99.5
113.18,100.1
119.38,100.2
125.92,100.5
132.82,100.4
140.1,101
147.77,101
155.87,101.3
164.41,101.3
173.42,101.8
182.92,101.7
192.95,101.9
203.52,102.3
214.67,102.2
226.43,102.9
238.84,102.9
251.93,103.6
265.73,103.4
280.29,103.8
295.65,104
311.85,104.7
328.94,104.6
346.96,104.7
365.97,104.7
386.03,105.1
407.18,105
429.49,104.8
453.02,105.1
477.85,104.9
504.03,104.9
531.65,104.3
560.78,104
591.51,104.4
623.92,104.1
658.1,104.6
694.16,105.1
732.2,105.3
772.32,105.9
814.64,106
859.28,106.1
906.36,105.9
956.02,105.4
1008.41,104.6
1063.66,104.5
1121.95,105
1183.42,105.8
1248.27,105.8
1316.66,106.1
1388.81,105.8
1464.91,104.9
1545.18,104.8
1629.84,105.3
1719.15,106.3
1813.35,105.8
1912.71,105.1
2017.52,105.3
2128.06,105.7
2244.67,105.9
2367.66,105.3
2497.4,104.9
2634.24,106
2778.58,105.6
2930.83,105.3
3091.43,106.3
3260.82,105.3
3439.49,105.4
3627.96,106.2
3826.75,105.4
4036.43,106.3
4257.6,105
4490.9,106.3
4736.97,105
4996.53,106.3
5270.31,105.7
5559.09,105.7
5863.7,105.8
6185,105.2
6523.9,105
6881.37,106
7258.43,106.3
7656.15,106.1
8075.66,105.9
8518.16,105.8
8984.91,105.5
9477.23,106
9996.53,106.1
10544.28,105.9
11122.05,105.3
11731.47,105.8
12374.29,105.3
13052.33,105.3
13767.52,105.6
14521.9,105.2
15317.62,104.8
16156.94,104.8
17042.24,104.2
17976.06,103.6
18961.04,103
20000,102.6
