# default s1 phase
freq,value
35,26.8
36.92,28.2
38.94,29.8
41.07,31.4
43.33,33.1
45.7,34.9
48.2,36.9
50.84,37.5
53.63,37.6
56.57,37.8
59.67,38
62.94,38.2
66.39,38.4
70.02,38.7
73.86,38.9
77.91,38.7
82.18,38.5
86.68,38.4
91.43,38.2
96.44,38
101.72,37.6
107.3,37.1
113.18,36.6
119.38,36.1
125.92,35.8
132.82,35.7
140.1,35.5
147.77,35.3
155.87,35
164.41,34.6
173.42,34.3
182.92,34.3
192.95,34.2
203.52,33.9
214.67,33.4
226.43,33.1
238.84,32.8
251.93,32.2
265.73,31.3
280.29,30.4
295.65,29.3
311.85,27.7
328.94,26.1
346.96,24.4
365.97,22.1
386.03,20.1
407.18,17.9
429.49,15.9
453.02,14.2
477.85,13
504.03,12.3
531.65,12.3
560.78,12.9
591.51,14.4
623.92,15.8
658.1,17.1
694.16,17.9
732.2,17.6
772.32,15.7
814.64,12.8
859.28,9.5
906.36,6.7
956.02,5.5
1008.41,6.5
1063.66,9.2
1121.95,11.9
1183.42,12.5
1248.27,10.3
1316.66,6.1
1388.81,3.1
1464.91,4
1545.18,7.6
1629.84,9.8
1719.15,7.3
1813.35,2.9
1912.71,2.6
2017.52,6.5
2128.06,7.4
2244.67,3.1
2367.66,1.9
2497.4,5.8
2634.24,4.8
2778.58,1.5
2930.83,4.3
3091.43,4
3260.82,1.7
3439.49,4
3627.96,2.3
3826.75,2.7
4036.43,2.6
4257.6,2.3
4490.9,2.3
4736.97,2
4996.53,2.5
5270.31,0.9
5559.09,3.1
5863.7,1.7
6185,0
6523.9,2.6
6881.37,3.9
7258.43,2.3
7656.15,0.6
8075.66,0.2
8518.16,0.5
8984.91,0.9
9477.23,0.7
9996.53,-0.6
10544.28,-1.9
11122.05,-0.6
11731.47,0.6
12374.29,-0.1
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
