# default s1 group delay
freq,value
35,0
36.92,0
38.94,0
41.07,0
43.33,0
45.7,0
48.2,0
50.84,0
53.63,0
56.57,0
59.67,0
62.94,0
66.39,0
70.02,0
73.86,0.22
77.91,0.39
82.18,0.39
86.68,0.39
91.43,0.39
96.44,0.48
101.72,0.59
107.3,0.61
113.18,0.61
119.38,0.57
125.92,0.49
132.82,0.47
140.1,0.47
147.77,0.52
155.87,0.55
164.41,0.53
173.42,0.44
182.92,0.38
192.95,0.39
203.52,0.4
214.67,0.35
226.43,0.26
238.84,0.22
251.93,0.21
265.73,0.13
280.29,0.05
295.65,0.01
311.85,0
328.94,0
346.96,0
365.97,0
386.03,0
407.18,0
429.49,0
453.02,0
477.85,0
504.03,0.06
531.65,0.15
560.78,0.23
591.51,0.27
623.92,0.28
658.1,0.23
694.16,0.14
732.2,0.02
772.32,0
814.64,0
859.28,0
906.36,0
956.02,0.02
1008.41,0.15
1063.66,0.22
1121.95,0.17
1183.42,0.02
1248.27,0
1316.66,0
1388.81,0
1464.91,0.12
1545.18,0.16
1629.84,0.04
1719.15,0
1813.35,0
1912.71,0.07
2017.52,0.11
2128.06,0
2244.67,0
2367.66,0.04
2497.4,0.06
2634.24,0
2778.58,0
2930.83,0.04
3091.43,0
3260.82,0
3439.49,0.01
3627.96,0
3826.75,0.01
4036.43,0
4257.6,0
4490.9,0
4736.97,0
4996.53,0
5270.31,0.01
5559.09,0.01
5863.7,0
6185,0.01
6523.9,0.02
6881.37,0
7258.43,0
7656.15,0
8075.66,0
8518.16,0.01
8984.91,0
9477.23,0
9996.53,0
10544.28,0
11122.05,0.01
11731.47,0
12374.29,0
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
