# default s1 power compression
freq,value
35,88.1
36.92,88.5
38.94,89
41.07,89.4
43.33,89.8
45.7,90.1
48.2,90.5
50.84,90.9
53.63,91.3
56.57,91.6
59.67,91.9
62.94,92.3
66.39,92.6
70.02,92.9
73.86,93.2
77.91,93.5
82.18,93.8
86.68,94
91.43,94.3
96.44,94.5
101.72,94.7
107.3,95
113.18,95.2
119.38,95.4
125.92,95.5
132.82,95.7
140.1,95.8
147.77,96
155.87,96.1
164.41,96.2
173.42,96.3
182.92,96.3
192.95,96.3
203.52,96.3
214.67,96.3
226.43,96.3
238.84,96.2
251.93,96.1
265.73,96
280.29,95.8
295.65,95.7
311.85,95.5
328.94,95.4
346.96,95.3
365.97,95.3
386.03,95.3
407.18,95.4
429.49,95.6
453.02,95.9
477.85,96.3
504.03,96.7
531.65,97.1
560.78,97.5
591.51,97.8
623.92,97.9
658.1,97.7
694.16,97.4
732.2,96.9
772.32,96.4
814.64,96.1
859.28,96
906.36,96.4
956.02,97
1008.41,97.7
1063.66,98
1121.95,97.9
1183.42,97.2
1248.27,96.5
1316.66,96.2
1388.81,96.8
1464.91,97.7
1545.18,98.1
1629.84,97.4
1719.15,96.4
1813.35,96.5
1912.71,97.6
2017.52,98
2128.06,96.9
2244.67,96.4
2367.66,97.6
2497.4,97.8
2634.24,96.6
2778.58,97.1
2930.83,97.9
3091.43,96.6
3260.82,97.3
3439.49,97.6
3627.96,96.6
3826.75,97.9
4036.43,96.6
4257.6,97.9
4490.9,96.6
4736.97,97.9
4996.53,96.6
5270.31,97.5
5559.09,97.4
5863.7,96.7
6185,97.5
6523.9,97.7
6881.37,97
7258.43,96.7
7656.15,96.9
8075.66,97.1
8518.16,97.2
8984.91,97.1
9477.23,96.9
9996.53,96.8
10544.28,97
11122.05,97.5
11731.47,97
12374.29,96.8
13052.33,97.1
13767.52,96.6
14521.9,96.3
15317.62,96.4
16156.94,96
17042.24,95.2
17976.06,94.5
18961.04,93.5
20000,91.9
