# default s1 SPL
freq,value
35,90.4
36.92,90.9
38.94,91.3
41.07,91.8
43.33,92.2
45.7,92.6
48.2,93
50.84,93.4
53.63,93.9
56.57,94.3
59.67,94.6
62.94,95
66.39,95.4
70.02,95.8
73.86,96.1
77.91,96.4
82.18,96.8
86.68,97.1
91.43,97.4
96.44,97.7
101.72,98
107.3,98.2
113.18,98.5
119.38,98.7
125.92,98.9
132.82,99.1
140.1,99.3
147.77,99.5
155.87,99.7
164.41,99.8
173.42,99.9
182.92,100
192.95,100
203.52,100.1
214.67,100.1
226.43,100
238.84,100
251.93,99.9
265.73,99.8
280.29,99.7
295.65,99.5
311.85,99.4
328.94,99.3
346.96,99.2
365.97,99.2
386.03,99.2
407.18,99.3
429.49,99.5
453.02,99.8
477.85,100.2
504.03,100.6
531.65,101.1
560.78,101.5
591.51,101.7
623.92,101.8
658.1,101.7
694.16,101.4
732.2,100.9
772.32,100.4
814.64,100.1
859.28,100
906.36,100.4
956.02,101
1008.41,101.7
1063.66,102
1121.95,101.9
1183.42,101.2
1248.27,100.4
1316.66,100.2
1388.81,100.8
1464.91,101.7
1545.18,102.1
1629.84,101.4
1719.15,100.4
1813.35,100.5
1912.71,101.6
2017.52,102
2128.06,100.9
2244.67,100.4
2367.66,101.6
2497.4,101.8
2634.24,100.6
2778.58,101.1
2930.83,101.9
3091.43,100.6
3260.82,101.3
3439.49,101.6
3627.96,100.6
3826.75,101.9
4036.43,100.6
4257.6,101.8
4490.9,100.6
4736.97,101.9
4996.53,100.6
5270.31,101.5
5559.09,101.4
5863.7,100.7
6185,101.5
6523.9,101.7
6881.37,101
7258.43,100.7
7656.15,100.9
8075.66,101.1
8518.16,101.2
8984.91,101.1
9477.23,100.9
9996.53,100.8
10544.28,101
11122.05,101.5
11731.47,101
12374.29,100.8
13052.33,101.1
13767.52,100.6
14521.9,100.3
15317.62,100.4
16156.94,100
17042.24,99.2
17976.06,98.5
18961.04,97.5
20000,95.9
