# default s1 phase
freq,value
35,26.5
36.92,27.9
38.94,29.5
41.07,31.1
43.33,32.8
45.7,34.6
48.2,36.5
50.84,37.1
53.63,37.3
56.57,37.5
59.67,37.8
62.94,38
66.39,38.3
70.02,38.5
73.86,38.8
77.91,38.7
82.18,38.6
86.68,38.5
91.43,38.5
96.44,38.4
101.72,38
107.3,37.6
113.18,37.2
119.38,36.7
125.92,36.4
132.82,36.3
140.1,36.1
147.77,35.8
155.87,35.2
164.41,34.6
173.42,34
182.92,33.5
192.95,33
203.52,32.1
214.67,31
226.43,29.9
238.84,28.8
251.93,27.3
265.73,25.5
280.29,23.8
295.65,22
311.85,19.8
328.94,17.8
346.96,15.9
365.97,13.9
386.03,12.5
407.18,11.3
429.49,10.8
453.02,10.8
477.85,11.4
504.03,12.6
531.65,14.2
560.78,15.9
591.51,17.5
623.92,18.2
658.1,17.9
694.16,16.3
732.2,13.5
772.32,9.9
814.64,6.4
859.28,4.3
906.36,4.2
956.02,6.2
1008.41,9.6
1063.66,12.4
1121.95,12.7
1183.42,9.7
1248.27,5
1316.66,1.8
1388.81,2.6
1464.91,6.9
1545.18,10
1629.84,8.1
1719.15,2.8
1813.35,0.8
1912.71,4.8
2017.52,8.1
2128.06,4.6
2244.67,0.4
2367.66,3.8
2497.4,6.5
2634.24,2
2778.58,1.7
2930.83,5.3
3091.43,1.9
3260.82,2.2
3439.49,3.8
3627.96,1.4
3826.75,3
4036.43,2
4257.6,2.1
4490.9,2.3
4736.97,1.3
4996.53,2.9
5270.31,0.8
5559.09,1.9
5863.7,3.3
6185,-0.1
6523.9,0.4
6881.37,3.7
7258.43,4.3
7656.15,2.8
8075.66,1.4
8518.16,0.6
8984.91,-0.1
9477.23,-1.2
9996.53,-2.5
10544.28,-2
11122.05,0.6
11731.47,0
12374.29,-0.6
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
