# default s1 phase
freq,value
35,26.6
36.92,28.1
38.94,29.6
41.07,31.2
43.33,32.9
45.7,34.7
48.2,36.6
50.84,37.1
53.63,37.1
56.57,37.1
59.67,37.1
62.94,37.1
66.39,37
70.02,37
73.86,37
77.91,36.4
82.18,35.9
86.68,35.3
91.43,34.7
96.44,34.1
101.72,33.2
107.3,32.2
113.18,31.2
119.38,30.1
125.92,29.3
132.82,28.6
140.1,28
147.77,27.3
155.87,26.5
164.41,25.7
173.42,25.1
182.92,25
192.95,24.9
203.52,24.7
214.67,24.6
226.43,24.8
238.84,25.3
251.93,25.7
265.73,26
280.29,26.7
295.65,27.4
311.85,27.6
328.94,27.9
346.96,28.1
365.97,27.6
386.03,26.9
407.18,25.4
429.49,23.6
453.02,21.2
477.85,18.5
504.03,15.5
531.65,12.7
560.78,10.1
591.51,8.7
623.92,8.3
658.1,9
694.16,11.2
732.2,13.8
772.32,16.1
814.64,17.2
859.28,16.3
906.36,13.3
956.02,9
1008.41,5
1063.66,3.3
1121.95,4.7
1183.42,8.6
1248.27,12.2
1316.66,12.2
1388.81,8
1464.91,2.7
1545.18,1.6
1629.84,5.6
1719.15,9.7
1813.35,8
1912.71,2.2
2017.52,1.2
2128.06,6.2
2244.67,7.4
2367.66,1.8
2497.4,1.5
2634.24,6.2
2778.58,3.3
2930.83,0.9
3091.43,4.8
3260.82,2.1
3439.49,1.9
3627.96,3.3
3826.75,1.3
4036.43,2.4
4257.6,1.8
4490.9,1.3
4736.97,2.2
4996.53,0.5
5270.31,1.6
5559.09,1.9
5863.7,-1.2
6185,1.5
6523.9,2.9
6881.37,-0.2
7258.43,-2.6
7656.15,-2.3
8075.66,-1.1
8518.16,0.1
8984.91,1.1
9477.23,2.2
9996.53,2.6
10544.28,0.5
11122.05,-1.7
11731.47,0
12374.29,0.4
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
