# default s1 SPL
freq,value
35,90.8
36.92,91.2
38.94,91.6
41.07,92
43.33,92.5
45.7,92.8
48.2,93.2
50.84,93.6
53.63,94
56.57,94.4
59.67,94.7
62.94,95.1
66.39,95.4
70.02,95.7
73.86,96
77.91,96.3
82.18,96.6
86.68,96.9
91.43,97.1
96.44,97.3
101.72,97.6
107.3,97.8
113.18,97.9
119.38,98.1
125.92,98.3
132.82,98.4
140.1,98.5
147.77,98.6
155.87,98.7
164.41,98.8
173.42,98.8
182.92,98.9
192.95,98.9
203.52,99
214.67,99.1
226.43,99.1
238.84,99.2
251.93,99.3
265.73,99.5
280.29,99.6
295.65,99.9
311.85,100.1
328.94,100.4
346.96,100.7
365.97,101.1
386.03,101.5
407.18,101.8
429.49,102.2
453.02,102.5
477.85,102.6
504.03,102.7
531.65,102.6
560.78,102.4
591.51,102.1
623.92,101.7
658.1,101.4
694.16,101.2
732.2,101.2
772.32,101.5
814.64,102
859.28,102.6
906.36,103.1
956.02,103.2
1008.41,103
1063.66,102.3
1121.95,101.7
1183.42,101.5
1248.27,102
1316.66,102.8
1388.81,103.3
1464.91,103.1
1545.18,102.2
1629.84,101.7
1719.15,102.2
1813.35,103.2
1912.71,103.2
2017.52,102.1
2128.06,101.9
2244.67,103
2367.66,103.2
2497.4,102
2634.24,102.3
2778.58,103.3
2930.83,102.2
3091.43,102.3
3260.82,103.2
3439.49,101.9
3627.96,103
3826.75,102.4
4036.43,102.6
4257.6,102.7
4490.9,102.5
4736.97,102.5
4996.53,102.9
5270.31,102.1
5559.09,103.1
5863.7,102.5
6185,102.1
6523.9,102.8
6881.37,103.1
7258.43,102.7
7656.15,102.3
8075.66,102.2
8518.16,102.2
8984.91,102.2
9477.23,102.3
9996.53,102.6
10544.28,102.9
11122.05,102.6
11731.47,102.1
12374.29,102.7
13052.33,102
13767.52,102.5
14521.9,101.7
15317.62,101.3
16156.94,101.2
17042.24,100.6
17976.06,99.7
18961.04,98.5
20000,97.2
