# default s1 SPL
freq,value
35,87.6
36.92,88
38.94,88.4
41.07,88.9
43.33,89.3
45.7,89.7
48.2,90.1
50.84,90.5
53.63,90.9
56.57,91.2
59.67,91.6
62.94,92
66.39,92.3
70.02,92.7
73.86,93
77.91,93.3
82.18,93.6
86.68,93.9
91.43,94.2
96.44,94.5
101.72,94.8
107.3,95
113.18,95.3
119.38,95.5
125.92,95.7
132.82,95.9
140.1,96.1
147.77,96.3
155.87,96.5
164.41,96.7
173.42,96.8
182.92,97
192.95,97.3
203.52,97.5
214.67,97.7
226.43,98
238.84,98.3
251.93,98.7
265.73,99
280.29,99.4
295.65,99.9
311.85,100.3
328.94,100.7
346.96,101
365.97,101.3
386.03,101.5
407.18,101.6
429.49,101.6
453.02,101.4
477.85,101.1
504.03,100.8
531.65,100.5
560.78,100.3
591.51,100.3
623.92,100.5
658.1,101
694.16,101.6
732.2,102.1
772.32,102.4
814.64,102.3
859.28,101.8
906.36,101.2
956.02,100.8
1008.41,100.9
1063.66,101.5
1121.95,102.3
1183.42,102.6
1248.27,102
1316.66,101.1
1388.81,101
1464.91,101.8
1545.18,102.6
1629.84,102.1
1719.15,101.1
1813.35,101.4
1912.71,102.5
2017.52,102.2
2128.06,101.1
2244.67,101.9
2367.66,102.5
2497.4,101.2
2634.24,101.9
2778.58,102.3
2930.83,101.2
3091.43,102.5
3260.82,101.4
3439.49,102.2
3627.96,101.6
3826.75,102.2
4036.43,101.5
4257.6,102.5
4490.9,101.3
4736.97,102.2
4996.53,102.2
5270.31,101.3
5559.09,101.8
5863.7,102.4
6185,102.3
6523.9,101.9
6881.37,101.7
7258.43,101.6
7656.15,101.7
8075.66,101.9
8518.16,102.2
8984.91,102.2
9477.23,101.6
9996.53,101.7
10544.28,102.2
11122.05,101.5
11731.47,102
12374.29,101.9
13052.33,101.4
13767.52,101.4
14521.9,101.4
15317.62,101.2
16156.94,100.9
17042.24,100.9
17976.06,100.4
18961.04,99.7
20000,98.7
