# default rew phase
freq,value
35,23.9
36.92,25.2
38.94,26.5
41.07,28
43.33,29.5
45.7,31.1
48.2,32.8
50.84,33.1
53.63,33.1
56.57,33
59.67,32.9
62.94,32.8
66.39,32.7
70.02,32.6
73.86,32.5
77.91,32
82.18,31.4
86.68,30.9
91.43,30.3
96.44,29.7
101.72,28.7
107.3,27.7
113.18,26.6
119.38,25.4
125.92,24.4
132.82,23.6
140.1,22.6
147.77,21.7
155.87,20.5
164.41,19.2
173.42,18.1
182.92,17.4
192.95,16.6
203.52,15.8
214.67,14.9
226.43,14.4
238.84,14.3
251.93,14.2
265.73,14.1
280.29,14.5
295.65,15.2
311.85,15.7
328.94,16.5
346.96,17.4
365.97,17.9
386.03,18.5
407.18,18.3
429.49,17.8
453.02,16.6
477.85,14.8
504.03,12.5
531.65,10.2
560.78,7.7
591.51,6.2
623.92,5.7
658.1,6.2
694.16,8.1
732.2,10.4
772.32,12
814.64,12
859.28,10.2
906.36,6.9
956.02,3.8
1008.41,2.6
1063.66,4.1
1121.95,7.3
1183.42,9.2
1248.27,7.7
1316.66,3.6
1388.81,1.1
1464.91,3.3
1545.18,6.9
1629.84,6.3
1719.15,2
1813.35,1.2
1912.71,4.9
2017.52,5.1
2128.06,1
2244.67,2.1
2367.66,4.7
2497.4,1.4
2634.24,1.8
2778.58,3.4
2930.83,0.9
3091.43,2.4
3260.82,1.5
3439.49,1.5
3627.96,1.5
3826.75,1.2
4036.43,1.5
4257.6,0.4
4490.9,2
4736.97,-0.2
4996.53,0.3
5270.31,2.3
5559.09,0
5863.7,-2.1
6185,-1.4
6523.9,0.1
6881.37,0.7
7258.43,0.5
7656.15,0.4
8075.66,0.8
8518.16,2
8984.91,2.3
9477.23,0.2
9996.53,-0.3
10544.28,0.4
11122.05,0.1
11731.47,-0.7
12374.29,-0.5
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
