# default rew SPL
freq,value
35,95
36.92,95.2
38.94,95.7
41.07,95.8
43.33,96.5
45.7,96.7
48.2,96.5
50.84,97.2
53.63,97.3
56.57,97.4
59.67,97.9
62.94,98.1
66.39,98.1
70.02,98.3
73.86,98.8
77.91,99
82.18,98.9
86.68,99.2
91.43,99.4
96.44,99.6
101.72,99.8
107.3,100.4
113.18,100.5
119.38,100.6
125.92,100.6
132.82,100.5
140.1,100.7
147.77,101.3
155.87,101.2
164.41,101.4
173.42,101.3
182.92,101.3
192.95,101
203.52,101.4
214.67,101.4
226.43,101.2
238.84,100.9
251.93,101.2
265.73,101
280.29,101.3
295.65,101.3
311.85,101.3
328.94,101.5
346.96,101.1
365.97,101.8
386.03,102
407.18,102.2
429.49,102.4
453.02,102.7
477.85,103
504.03,103.5
531.65,103.1
560.78,102.9
591.51,103
623.92,102.6
658.1,102.5
694.16,101.9
732.2,102
772.32,102.6
814.64,102.9
859.28,103.4
906.36,103.5
956.02,103.2
1008.41,102.9
1063.66,102.6
1121.95,102.5
1183.42,102.6
1248.27,103.6
1316.66,103.7
1388.81,103
1464.91,102.3
1545.18,102.8
1629.84,103.3
1719.15,103.5
1813.35,102.7
1912.71,102.4
2017.52,103.5
2128.06,103.3
2244.67,102.8
2367.66,103.3
2497.4,103.7
2634.24,102.4
2778.58,103.1
2930.83,103.2
3091.43,102.5
3260.82,103.8
3439.49,102.4
3627.96,103.7
3826.75,102.5
4036.43,103.8
4257.6,102.6
4490.9,103.4
4736.97,103.6
4996.53,103
5270.31,103.2
5559.09,103.4
5863.7,103
6185,102.9
6523.9,102.9
6881.37,103.2
7258.43,102.7
7656.15,103
8075.66,102.8
8518.16,102.9
8984.91,103.4
9477.23,103.2
9996.53,103
10544.28,103.3
11122.05,103.3
11731.47,102.9
12374.29,103
13052.33,103
13767.52,103.4
14521.9,103.2
15317.62,102.9
16156.94,102.4
17042.24,101.6
17976.06,101.6
18961.04,100.9
20000,100.3
