# default s1 group delay
freq,value
35,0
36.92,0
38.94,0
41.07,0
43.33,0
45.7,0
48.2,0
50.84,0
53.63,0.07
56.57,0.07
59.67,0.07
62.94,0.07
66.39,0.07
70.02,0.09
73.86,0.24
77.91,0.35
82.18,0.35
86.68,0.35
91.43,0.35
96.44,0.42
101.72,0.5
107.3,0.52
113.18,0.52
119.38,0.47
125.92,0.38
132.82,0.35
140.1,0.35
147.77,0.38
155.87,0.4
164.41,0.38
173.42,0.28
182.92,0.22
192.95,0.22
203.52,0.21
214.67,0.16
226.43,0.07
238.84,0.03
251.93,0.02
265.73,0
280.29,0
295.65,0
311.85,0
328.94,0
346.96,0
365.97,0
386.03,0
407.18,0.04
429.49,0.11
453.02,0.17
477.85,0.22
504.03,0.24
531.65,0.24
560.78,0.18
591.51,0.09
623.92,0
658.1,0
694.16,0
732.2,0
772.32,0
814.64,0.06
859.28,0.16
906.36,0.18
956.02,0.12
1008.41,0
1063.66,0
1121.95,0
1183.42,0
1248.27,0.12
1316.66,0.13
1388.81,0
1464.91,0
1545.18,0
1629.84,0.08
1719.15,0.08
1813.35,0
1912.71,0
2017.52,0.05
2128.06,0.04
2244.67,0
2367.66,0.01
2497.4,0.03
2634.24,0
2778.58,0.01
2930.83,0.01
3091.43,0
3260.82,0.01
3439.49,0
3627.96,0
3826.75,0
4036.43,0.01
4257.6,0
4490.9,0
4736.97,0.01
4996.53,0
5270.31,0
5559.09,0.02
5863.7,0.01
6185,0
6523.9,0
6881.37,0
7258.43,0
7656.15,0
8075.66,0
8518.16,0
8984.91,0.01
9477.23,0.01
9996.53,0
10544.28,0
11122.05,0
11731.47,0
12374.29,0
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
