# default s1 SPL
freq,value
35,93.7
36.92,94.1
38.94,94.5
41.07,94.9
43.33,95.2
45.7,95.6
48.2,96
50.84,96.3
53.63,96.7
56.57,97
59.67,97.3
62.94,97.6
66.39,97.9
70.02,98.2
73.86,98.5
77.91,98.8
82.18,99
86.68,99.3
91.43,99.5
96.44,99.7
101.72,99.9
107.3,100.1
113.18,100.3
119.38,100.5
125.92,100.7
132.82,100.8
140.1,100.9
147.77,101
155.87,101.1
164.41,101.2
173.42,101.3
182.92,101.3
192.95,101.3
203.52,101.3
214.67,101.3
226.43,101.2
238.84,101.2
251.93,101.2
265.73,101.1
280.29,101.1
295.65,101.1
311.85,101.2
328.94,101.2
346.96,101.4
365.97,101.6
386.03,101.9
407.18,102.2
429.49,102.5
453.02,102.8
477.85,103.1
504.03,103.2
531.65,103.2
560.78,103.1
591.51,102.9
623.92,102.6
658.1,102.3
694.16,102.1
732.2,102.2
772.32,102.5
814.64,103
859.28,103.4
906.36,103.6
956.02,103.4
1008.41,102.9
1063.66,102.4
1121.95,102.4
1183.42,102.9
1248.27,103.5
1316.66,103.6
1388.81,103
1464.91,102.5
1545.18,102.7
1629.84,103.5
1719.15,103.5
1813.35,102.7
1912.71,102.6
2017.52,103.5
2128.06,103.4
2244.67,102.6
2367.66,103.1
2497.4,103.5
2634.24,102.6
2778.58,103.3
2930.83,103.2
3091.43,102.7
3260.82,103.6
3439.49,102.6
3627.96,103.6
3826.75,102.6
4036.43,103.5
4257.6,102.8
4490.9,103.2
4736.97,103.4
4996.53,102.7
5270.31,103.2
5559.09,103.5
5863.7,103.1
6185,102.8
6523.9,102.8
6881.37,102.9
7258.43,102.9
7656.15,102.9
8075.66,102.8
8518.16,102.8
8984.91,103.2
9477.23,103.4
9996.53,102.9
10544.28,103.2
11122.05,103
11731.47,103.2
12374.29,102.8
13052.33,103
13767.52,103.1
14521.9,103
15317.62,102.8
16156.94,102.4
17042.24,101.9
17976.06,101.7
18961.04,100.8
20000,100.3
