# default s1 SPL
freq,value
35,95.8
36.92,96.2
38.94,96.7
41.07,97.1
43.33,97.5
45.7,97.9
48.2,98.3
50.84,98.6
53.63,99
56.57,99.3
59.67,99.6
62.94,99.9
66.39,100.1
70.02,100.4
73.86,100.6
77.91,100.7
82.18,100.9
86.68,101
91.43,101.1
96.44,101.2
101.72,101.3
107.3,101.3
113.18,101.4
119.38,101.4
125.92,101.3
132.82,101.3
140.1,101.2
147.77,101.2
155.87,101.1
164.41,101
173.42,100.9
182.92,100.7
192.95,100.6
203.52,100.5
214.67,100.4
226.43,100.4
238.84,100.4
251.93,100.4
265.73,100.4
280.29,100.5
295.65,100.7
311.85,101
328.94,101.3
346.96,101.6
365.97,102
386.03,102.3
407.18,102.6
429.49,102.9
453.02,102.9
477.85,102.8
504.03,102.6
531.65,102.2
560.78,101.7
591.51,101.3
623.92,101
658.1,101
694.16,101.3
732.2,101.9
772.32,102.5
814.64,103
859.28,103
906.36,102.5
956.02,101.8
1008.41,101.2
1063.66,101.2
1121.95,102
1183.42,102.8
1248.27,103
1316.66,102.2
1388.81,101.3
1464.91,101.4
1545.18,102.5
1629.84,103
1719.15,102
1813.35,101.2
1912.71,102.2
2017.52,102.9
2128.06,101.8
2244.67,101.5
2367.66,102.8
2497.4,102
2634.24,101.5
2778.58,102.9
2930.83,101.5
3091.43,102.3
3260.82,102.2
3439.49,101.8
3627.96,102.4
3826.75,101.8
4036.43,102.2
4257.6,102.2
4490.9,101.6
4736.97,102.7
4996.53,101.8
5270.31,101.6
5559.09,102.4
5863.7,102.6
6185,102
6523.9,101.6
6881.37,101.5
7258.43,101.5
7656.15,101.6
8075.66,101.7
8518.16,102
8984.91,102.5
9477.23,102.2
9996.53,101.6
10544.28,102.4
11122.05,101.6
11731.47,102.4
12374.29,101.7
13052.33,101.6
13767.52,101.9
14521.9,101.9
15317.62,101.6
16156.94,101.1
17042.24,100.8
17976.06,100.8
18961.04,99.6
20000,99
