# default s1 SPL
freq,value
35,89.2
36.92,89.6
38.94,89.9
41.07,90.3
43.33,90.6
45.7,91
48.2,91.3
50.84,91.7
53.63,92
56.57,92.3
59.67,92.6
62.94,92.9
66.39,93.2
70.02,93.5
73.86,93.8
77.91,94.1
82.18,94.3
86.68,94.6
91.43,94.9
96.44,95.1
101.72,95.3
107.3,95.5
113.18,95.7
119.38,95.9
125.92,96.1
132.82,96.2
140.1,96.4
147.77,96.5
155.87,96.6
164.41,96.7
173.42,96.7
182.92,96.7
192.95,96.7
203.52,96.7
214.67,96.7
226.43,96.6
238.84,96.6
251.93,96.5
265.73,96.5
280.29,96.5
295.65,96.5
311.85,96.6
328.94,96.8
346.96,97
365.97,97.3
386.03,97.7
407.18,98.1
429.49,98.5
453.02,98.9
477.85,99.2
504.03,99.4
531.65,99.4
560.78,99.2
591.51,98.8
623.92,98.4
658.1,98.1
694.16,97.9
732.2,98.1
772.32,98.6
814.64,99.2
859.28,99.8
906.36,99.9
956.02,99.6
1008.41,98.9
1063.66,98.3
1121.95,98.4
1183.42,99.1
1248.27,99.9
1316.66,99.9
1388.81,99.1
1464.91,98.5
1545.18,98.9
1629.84,99.9
1719.15,99.9
1813.35,98.8
1912.71,98.8
2017.52,99.9
2128.06,99.7
2244.67,98.6
2367.66,99.5
2497.4,99.9
2634.24,98.7
2778.58,99.8
2930.83,99.5
3091.43,99
3260.82,100
3439.49,98.8
3627.96,100
3826.75,98.8
4036.43,100
4257.6,99.1
4490.9,99.5
4736.97,99.9
4996.53,98.9
5270.31,99.5
5559.09,100
5863.7,99.5
6185,99
6523.9,99
6881.37,99.1
7258.43,99.2
7656.15,99.1
8075.66,99
8518.16,99.1
8984.91,99.6
9477.23,99.8
9996.53,99.2
10544.28,99.6
11122.05,99.3
11731.47,99.6
12374.29,99.1
13052.33,99.3
13767.52,99.5
14521.9,99.5
15317.62,99.3
16156.94,98.8
17042.24,98.2
17976.06,98.2
18961.04,97.1
20000,96.7
