# default s1 SPL
freq,value
35,89.1
36.92,89.6
38.94,90
41.07,90.4
43.33,90.8
45.7,91.2
48.2,91.6
50.84,92
53.63,92.4
56.57,92.8
59.67,93.2
62.94,93.5
66.39,93.9
70.02,94.2
73.86,94.6
77.91,94.9
82.18,95.2
86.68,95.6
91.43,95.9
96.44,96.2
101.72,96.4
107.3,96.7
113.18,97
119.38,97.2
125.92,97.5
132.82,97.7
140.1,97.9
147.77,98.1
155.87,98.4
164.41,98.6
173.42,98.8
182.92,99
192.95,99.3
203.52,99.5
214.67,99.8
226.43,100.1
238.84,100.3
251.93,100.7
265.73,101
280.29,101.3
295.65,101.7
311.85,102
328.94,102.3
346.96,102.5
365.97,102.8
386.03,102.9
407.18,102.9
429.49,102.9
453.02,102.7
477.85,102.6
504.03,102.4
531.65,102.2
560.78,102.1
591.51,102.2
623.92,102.4
658.1,102.8
694.16,103.3
732.2,103.6
772.32,104.3
814.64,104.2
859.28,103.9
906.36,103.6
956.02,103.4
1008.41,103.7
1063.66,104.4
1121.95,105.1
1183.42,105.4
1248.27,105.1
1316.66,104.8
1388.81,105
1464.91,105.7
1545.18,106
1629.84,105.1
1719.15,103.7
1813.35,103.3
1912.71,103.2
2017.52,102
2128.06,100.4
2244.67,100.2
2367.66,99.5
2497.4,97.5
2634.24,97
2778.58,95.9
2930.83,93.9
3091.43,93.6
3260.82,91.4
3439.49,90.8
3627.96,88.9
3826.75,88.1
4036.43,86.1
4257.6,85.5
4490.9,83.3
4736.97,82.4
4996.53,81.2
5270.31,79.2
5559.09,78
5863.7,77.1
6185,75.7
6523.9,74.1
6881.37,72.5
7258.43,71.1
7656.15,69.7
8075.66,68.5
8518.16,67.3
8984.91,65.9
9477.23,64
9996.53,62.8
10544.28,61.7
11122.05,59.9
11731.47,58.8
12374.29,57.4
13052.33,55.7
13767.52,54.3
14521.9,53
15317.62,51.6
16156.94,50.2
17042.24,49.1
17976.06,47.6
18961.04,46.2
20000,44.6
