# default s1 phase
freq,value
35,31.8
36.92,33.5
38.94,35.4
41.07,37.4
43.33,39.5
45.7,41.7
48.2,44
50.84,44.9
53.63,45.4
56.57,45.9
59.67,46.4
62.94,46.9
66.39,47.5
70.02,48.1
73.86,48.6
77.91,48.5
82.18,48.4
86.68,48.3
91.43,48.2
96.44,48
101.72,47.4
107.3,46.6
113.18,45.7
119.38,44.8
125.92,43.8
132.82,42.8
140.1,41.8
147.77,40.5
155.87,38.8
164.41,37
173.42,35.2
182.92,33.5
192.95,31.7
203.52,29.7
214.67,27.6
226.43,25.8
238.84,24.2
251.93,22.8
265.73,21.4
280.29,20.8
295.65,20.5
311.85,20.5
328.94,21.1
346.96,21.9
365.97,22.7
386.03,23.5
407.18,23.6
429.49,23
453.02,21.5
477.85,19.1
504.03,16.1
531.65,13.1
560.78,10.4
591.51,9.5
623.92,10.2
658.1,12.1
694.16,14.6
732.2,15.8
772.32,14.5
814.64,11
859.28,7.1
906.36,5.4
956.02,7.1
1008.41,10.5
1063.66,11.8
1121.95,8.9
1183.42,4.5
1248.27,3.9
1316.66,7.9
1388.81,9.5
1464.91,5.4
1545.18,2.6
1629.84,6.1
1719.15,7.4
1813.35,3.1
1912.71,3.7
2017.52,6.3
2128.06,2.9
2244.67,3.7
2367.66,4.6
2497.4,2.5
2634.24,4
2778.58,2.9
2930.83,3
3091.43,3.1
3260.82,2.2
3439.49,3.5
3627.96,1.6
3826.75,2.5
4036.43,3.7
4257.6,0.6
4490.9,1.2
4736.97,4.2
4996.53,4.5
5270.31,2.9
5559.09,1.5
5863.7,1
6185,0.6
6523.9,-0.3
6881.37,-1.8
7258.43,-2.1
7656.15,0.2
8075.66,0.5
8518.16,-0.8
8984.91,-0.5
9477.23,0
9996.53,-1.1
10544.28,-2.3
11122.05,-1.1
11731.47,-0.5
12374.29,-0.2
13052.33,0
13767.52,0
14521.9,0
15317.62,0
16156.94,0
17042.24,0
17976.06,0
18961.04,0
20000,0
