# default s1 SPL
freq,value
35,89
36.92,89.4
38.94,89.9
41.07,90.3
43.33,90.7
45.7,91.1
48.2,91.6
50.84,92
53.63,92.4
56.57,92.8
59.67,93.2
62.94,93.6
66.39,94
70.02,94.4
73.86,94.8
77.91,95.2
82.18,95.6
86.68,96
91.43,96.4
96.44,96.8
101.72,97.1
107.3,97.5
113.18,97.9
119.38,98.2
125.92,98.6
132.82,98.9
140.1,99.3
147.77,99.6
155.87,99.9
164.41,100.2
173.42,100.4
182.92,100.7
192.95,100.8
203.52,101
214.67,101.1
226.43,101.1
238.84,101.1
251.93,101.1
265.73,101
280.29,101
295.65,100.9
311.85,100.8
328.94,100.8
346.96,100.8
365.97,101
386.03,101.3
407.18,101.6
429.49,102
453.02,102.4
477.85,102.7
504.03,102.8
531.65,102.8
560.78,102.5
591.51,102.2
623.92,101.8
658.1,101.6
694.16,101.8
732.2,102.3
772.32,102.8
814.64,103.1
859.28,103
906.36,102.4
956.02,101.9
1008.41,102
1063.66,102.6
1121.95,103.2
1183.42,103
1248.27,102.2
1316.66,102
1388.81,102.8
1464.91,103.2
1545.18,102.5
1629.84,102
1719.15,102.9
1813.35,103.1
1912.71,102.1
2017.52,102.7
2128.06,103.1
2244.67,102.1
2367.66,103.1
2497.4,102.6
2634.24,102.6
2778.58,102.9
2930.83,102.4
3091.43,103
3260.82,102.5
3439.49,102.7
3627.96,103
3826.75,102.2
4036.43,103
4257.6,102.9
4490.9,102.3
4736.97,102.5
4996.53,102.9
5270.31,103.1
5559.09,103.1
5863.7,103
6185,103
6523.9,103.1
6881.37,103
7258.43,102.6
7656.15,102.4
8075.66,102.9
8518.16,102.7
8984.91,102.7
9477.23,102.6
9996.53,102.9
10544.28,102.5
11122.05,102.4
11731.47,102.4
12374.29,102.4
13052.33,102.3
13767.52,102.6
14521.9,102.5
15317.62,102.1
16156.94,101.9
17042.24,101.8
17976.06,101.3
18961.04,100.6
20000,99.5
