# default s1 SPL
freq,value
35,94.6
36.92,95.1
38.94,95.5
41.07,96
43.33,96.4
45.7,96.9
48.2,97.3
50.84,97.8
53.63,98.2
56.57,98.6
59.67,99.1
62.94,99.5
66.39,99.9
70.02,100.4
73.86,100.8
77.91,101.2
82.18,101.7
86.68,102.1
91.43,102.5
96.44,102.9
101.72,103.3
107.3,103.7
113.18,104.1
119.38,104.5
125.92,104.8
132.82,105.2
140.1,105.5
147.77,105.8
155.87,106
164.41,106.3
173.42,106.5
182.92,106.6
192.95,106.7
203.52,106.7
214.67,106.7
226.43,106.7
238.84,106.6
251.93,106.5
265.73,106.4
280.29,106.3
295.65,106.2
311.85,106.2
328.94,106.3
346.96,106.5
365.97,106.9
386.03,107.3
407.18,107.8
429.49,108.2
453.02,108.6
477.85,108.8
504.03,108.8
531.65,108.5
560.78,108
591.51,107.5
623.92,107.2
658.1,107.3
694.16,107.8
732.2,108.5
772.32,109
814.64,109.1
859.28,108.6
906.36,107.8
956.02,107.5
1008.41,107.9
1063.66,108.8
1121.95,109.2
1183.42,108.6
1248.27,107.7
1316.66,107.9
1388.81,109
1464.91,109.1
1545.18,108
1629.84,107.9
1719.15,109.1
1813.35,108.7
1912.71,107.7
2017.52,108.9
2128.06,108.8
2244.67,107.8
2367.66,109.2
2497.4,108
2634.24,108.7
2778.58,108.5
2930.83,108.4
3091.43,108.6
3260.82,108.6
3439.49,108.2
3627.96,109.1
3826.75,107.9
4036.43,108.7
4257.6,109
4490.9,108.1
4736.97,108
4996.53,108.6
5270.31,109
5559.09,109
5863.7,109
6185,109
6523.9,109
6881.37,108.7
7258.43,108.2
7656.15,108.2
8075.66,108.9
8518.16,108.3
8984.91,108.6
9477.23,108.2
9996.53,108.9
10544.28,108.4
11122.05,108.1
11731.47,108
12374.29,108
13052.33,108
13767.52,108.3
14521.9,107.8
15317.62,107.5
16156.94,106.8
17042.24,106.4
17976.06,105.7
18961.04,104.5
20000,103.1
