# default rew SPL
freq,value
35,90.5
36.92,90.6
38.94,91.4
41.07,91.7
43.33,91.7
45.7,92.4
48.2,92.5
50.84,93.2
53.63,93.1
56.57,93.7
59.67,94.1
62.94,94.3
66.39,94.8
70.02,95.2
73.86,95.6
77.91,95.5
82.18,95.7
86.68,96.3
91.43,96.6
96.44,96.6
101.72,96.8
107.3,97
113.18,97.7
119.38,97.6
125.92,98.4
132.82,98.7
140.1,99
147.77,99.5
155.87,99.8
164.41,99.6
173.42,100.2
182.92,100.5
192.95,100.5
203.52,100.9
214.67,100.7
226.43,101.1
238.84,100.7
251.93,101.2
265.73,100.7
280.29,100.9
295.65,100.6
311.85,100.6
328.94,100.7
346.96,100.4
365.97,100.6
386.03,100.8
407.18,101.1
429.49,101.8
453.02,102.2
477.85,102.1
504.03,102.5
531.65,102.7
560.78,102.4
591.51,102.3
623.92,101.9
658.1,101.2
694.16,101.7
732.2,102
772.32,102.5
814.64,102.9
859.28,103
906.36,102.1
956.02,102
1008.41,101.6
1063.66,102.1
1121.95,103
1183.42,102.9
1248.27,101.9
1316.66,102
1388.81,102.3
1464.91,102.8
1545.18,102.2
1629.84,101.9
1719.15,102.8
1813.35,103.2
1912.71,102
2017.52,102.2
2128.06,102.6
2244.67,102.1
2367.66,102.9
2497.4,102.3
2634.24,102.6
2778.58,103
2930.83,102.4
3091.43,103
3260.82,102.2
3439.49,102.6
3627.96,102.9
3826.75,102.1
4036.43,103.1
4257.6,102.7
4490.9,102.1
4736.97,102.2
4996.53,102.6
5270.31,103
5559.09,102.7
5863.7,102.6
6185,102.6
6523.9,102.7
6881.37,102.6
7258.43,102.2
7656.15,102.2
8075.66,102.4
8518.16,102.7
8984.91,102.2
9477.23,102.3
9996.53,102.9
10544.28,102.4
11122.05,102.5
11731.47,102.3
12374.29,102.2
13052.33,101.8
13767.52,102.4
14521.9,102.5
15317.62,102
16156.94,101.7
17042.24,101.5
17976.06,101
18961.04,100.5
20000,99.4
