# default s1 SPL
freq,value
35,88.7
36.92,89.1
38.94,89.6
41.07,90
43.33,90.4
45.7,90.8
48.2,91.2
50.84,91.6
53.63,92.1
56.57,92.5
59.67,92.9
62.94,93.3
66.39,93.7
70.02,94.1
73.86,94.5
77.91,94.8
82.18,95.2
86.68,95.6
91.43,96
96.44,96.4
101.72,96.7
107.3,97.1
113.18,97.5
119.38,97.9
125.92,98.2
132.82,98.6
140.1,98.9
147.77,99.2
155.87,99.5
164.41,99.8
173.42,100.1
182.92,100.4
192.95,100.6
203.52,100.7
214.67,100.9
226.43,100.9
238.84,101
251.93,101
265.73,100.9
280.29,100.9
295.65,100.8
311.85,100.7
328.94,100.7
346.96,100.7
365.97,100.8
386.03,101
407.18,101.3
429.49,101.7
453.02,102.1
477.85,102.4
504.03,102.6
531.65,102.6
560.78,102.4
591.51,102.1
623.92,101.7
658.1,101.5
694.16,101.6
732.2,102
772.32,102.5
814.64,102.9
859.28,102.8
906.36,102.3
956.02,101.8
1008.41,101.7
1063.66,102.3
1121.95,102.9
1183.42,102.9
1248.27,102.1
1316.66,101.8
1388.81,102.5
1464.91,103
1545.18,102.4
1629.84,101.9
1719.15,102.6
1813.35,102.9
1912.71,102
2017.52,102.4
2128.06,102.9
2244.67,101.9
2367.66,102.8
2497.4,102.5
2634.24,102.3
2778.58,102.8
2930.83,102.1
3091.43,102.8
3260.82,102.2
3439.49,102.6
3627.96,102.7
3826.75,102.1
4036.43,102.8
4257.6,102.6
4490.9,102.1
4736.97,102.3
4996.53,102.8
5270.31,102.9
5559.09,102.8
5863.7,102.8
6185,102.8
6523.9,102.8
6881.37,102.8
7258.43,102.5
7656.15,102.2
8075.66,102.7
8518.16,102.5
8984.91,102.4
9477.23,102.5
9996.53,102.7
10544.28,102.3
11122.05,102.2
11731.47,102.3
12374.29,102.2
13052.33,102.1
13767.52,102.3
14521.9,102.3
15317.62,101.9
16156.94,101.7
17042.24,101.6
17976.06,101.1
18961.04,100.4
20000,99.3
