# default rew SPL
freq,value
35,91.3
36.92,91.9
38.94,92.1
41.07,92.3
43.33,92.5
45.7,93.1
48.2,93.6
50.84,94
53.63,94.2
56.57,94.5
59.67,94.6
62.94,95
66.39,95.4
70.02,95.8
73.86,95.5
77.91,95.8
82.18,96.3
86.68,96.4
91.43,96.4
96.44,97.1
101.72,97.2
107.3,97.5
113.18,97.3
119.38,97.9
125.92,97.8
132.82,98.2
140.1,98.1
147.77,97.9
155.87,97.9
164.41,97.9
173.42,98.1
182.92,98
192.95,98.1
203.52,98
214.67,97.8
226.43,97.8
238.84,97.9
251.93,97.9
265.73,98.4
280.29,98.3
295.65,98.9
311.85,99.3
328.94,99.4
346.96,100.1
365.97,100.2
386.03,100.8
407.18,100.7
429.49,100.9
453.02,100.6
477.85,100.1
504.03,99.7
531.65,99.8
560.78,99.3
591.51,99.3
623.92,99.9
658.1,100.3
694.16,100.8
732.2,101.1
772.32,101
814.64,100.4
859.28,99.4
906.36,99.8
956.02,100.1
1008.41,101.1
1063.66,101.1
1121.95,100.6
1183.42,99.6
1248.27,99.8
1316.66,100.7
1388.81,101.4
1464.91,100.1
1545.18,100
1629.84,100.7
1719.15,100.8
1813.35,100
1912.71,100.3
2017.52,101
2128.06,100.2
2244.67,100.5
2367.66,100.8
2497.4,99.9
2634.24,101.4
2778.58,100
2930.83,101.1
3091.43,99.7
3260.82,101.2
3439.49,100.1
3627.96,101
3826.75,100.6
4036.43,100.2
4257.6,101.3
4490.9,100.7
4736.97,100.2
4996.53,100.1
5270.31,100.6
5559.09,100.8
5863.7,101
6185,100.8
6523.9,100.4
6881.37,100
7258.43,100.4
7656.15,100.7
8075.66,100.8
8518.16,100
8984.91,101.2
9477.23,100
9996.53,100.6
10544.28,100.8
11122.05,100.4
11731.47,100.4
12374.29,100.7
13052.33,100.5
13767.52,100.8
14521.9,99.7
15317.62,100.5
16156.94,99.8
17042.24,99.2
17976.06,98.7
18961.04,98.4
20000,97.3
