# default s1 SPL
freq,value
35,95.9
36.92,96.4
38.94,96.8
41.07,97.2
43.33,97.6
45.7,98
48.2,98.4
50.84,98.8
53.63,99.2
56.57,99.6
59.67,100
62.94,100.3
66.39,100.7
70.02,101
73.86,101.3
77.91,101.7
82.18,101.9
86.68,102.2
91.43,102.5
96.44,102.7
101.72,103
107.3,103.2
113.18,103.3
119.38,103.5
125.92,103.6
132.82,103.7
140.1,103.8
147.77,103.9
155.87,103.9
164.41,104
173.42,104
182.92,104
192.95,104
203.52,104
214.67,104
226.43,104
238.84,104.1
251.93,104.2
265.73,104.4
280.29,104.7
295.65,104.9
311.85,105.3
328.94,105.7
346.96,106
365.97,106.4
386.03,106.6
407.18,106.7
429.49,106.7
453.02,106.5
477.85,106.1
504.03,105.8
531.65,105.5
560.78,105.4
591.51,105.6
623.92,106
658.1,106.6
694.16,107
732.2,107.1
772.32,106.8
814.64,106.2
859.28,105.7
906.36,105.8
956.02,106.4
1008.41,107.1
1063.66,107.1
1121.95,106.4
1183.42,105.8
1248.27,106.1
1316.66,107.1
1388.81,107.1
1464.91,106.2
1545.18,106
1629.84,107
1719.15,107
1813.35,105.9
1912.71,106.6
2017.52,107.1
2128.06,106
2244.67,106.8
2367.66,106.8
2497.4,106.1
2634.24,107.2
2778.58,106
2930.83,107.2
3091.43,106
3260.82,107.2
3439.49,106.1
3627.96,106.9
3826.75,106.7
4036.43,106.1
4257.6,106.9
4490.9,107
4736.97,106.3
4996.53,106.1
5270.31,106.4
5559.09,106.6
5863.7,106.7
6185,106.7
6523.9,106.5
6881.37,106.3
7258.43,106.3
7656.15,106.9
8075.66,106.8
8518.16,106.3
8984.91,106.9
9477.23,106.3
9996.53,106.6
10544.28,106.9
11122.05,106.6
11731.47,106.4
12374.29,106.4
13052.33,106.5
13767.52,106.3
14521.9,105.6
15317.62,105.8
16156.94,105
17042.24,104.2
17976.06,103.5
18961.04,102.4
20000,101.4
