# default s1 SPL
freq,value
35,90.8
36.92,91.3
38.94,91.7
41.07,92.1
43.33,92.5
45.7,92.9
48.2,93.3
50.84,93.7
53.63,94
56.57,94.4
59.67,94.7
62.94,95
66.39,95.2
70.02,95.5
73.86,95.7
77.91,95.9
82.18,96.1
86.68,96.2
91.43,96.4
96.44,96.5
101.72,96.6
107.3,96.7
113.18,96.7
119.38,96.8
125.92,96.8
132.82,96.8
140.1,96.8
147.77,96.8
155.87,96.8
164.41,96.8
173.42,96.7
182.92,96.7
192.95,96.8
203.52,96.8
214.67,96.8
226.43,96.9
238.84,97
251.93,97.2
265.73,97.4
280.29,97.6
295.65,97.8
311.85,98
328.94,98.2
346.96,98.4
365.97,98.5
386.03,98.5
407.18,98.4
429.49,98.2
453.02,97.9
477.85,97.7
504.03,97.5
531.65,97.5
560.78,97.6
591.51,97.9
623.92,98.3
658.1,98.6
694.16,98.7
732.2,98.5
772.32,98
814.64,97.7
859.28,97.6
906.36,97.9
956.02,98.4
1008.41,98.7
1063.66,98.3
1121.95,97.7
1183.42,97.6
1248.27,98.2
1316.66,98.6
1388.81,98.2
1464.91,97.6
1545.18,98
1629.84,98.6
1719.15,98.1
1813.35,97.6
1912.71,98.4
2017.52,98.3
2128.06,97.6
2244.67,98.5
2367.66,97.9
2497.4,98
2634.24,98.4
2778.58,97.7
2930.83,98.5
3091.43,97.7
3260.82,98.4
3439.49,97.9
3627.96,98
3826.75,98.4
4036.43,97.7
4257.6,98
4490.9,98.4
4736.97,98.1
4996.53,97.8
5270.31,97.7
5559.09,97.8
5863.7,97.9
6185,97.9
6523.9,97.8
6881.37,97.7
7258.43,98
7656.15,98.3
8075.66,98
8518.16,97.9
8984.91,98.2
9477.23,97.9
9996.53,97.9
10544.28,98.2
11122.05,98.1
11731.47,98
12374.29,97.9
13052.33,97.9
13767.52,97.6
14521.9,97.2
15317.62,97.1
16156.94,96.5
17042.24,95.7
17976.06,94.9
18961.04,93.9
20000,92.9
