# alt-18s hr SPL
freq,value
35,95.4
36.92,95.8
38.94,96.2
41.07,96.6
43.33,97
45.7,97.4
48.2,97.8
50.84,98.2
53.63,98.5
56.57,98.9
59.67,99.2
62.94,99.6
66.39,99.9
70.02,100.3
73.86,100.6
77.91,100.9
82.18,101.3
86.68,101.6
91.43,101.9
96.44,102.2
101.72,102.5
107.3,102.9
113.18,103.2
119.38,103.5
125.92,103.8
132.82,104.1
140.1,104.5
147.77,104.8
155.87,105.1
164.41,105.5
173.42,105.8
182.92,106.1
192.95,106.5
203.52,106.8
214.67,107
226.43,107.3
238.84,107.5
251.93,107.6
265.73,107.7
280.29,107.7
295.65,107.7
311.85,107.6
328.94,107.5
346.96,107.3
365.97,107.2
386.03,107.1
407.18,107.2
429.49,107.3
453.02,107.6
477.85,108
504.03,108.4
531.65,108.7
560.78,108.9
591.51,108.9
623.92,109.2
658.1,108.8
694.16,108.6
732.2,108.6
772.32,109
814.64,109.7
859.28,110.3
906.36,110.5
956.02,110.2
1008.41,109.9
1063.66,110.1
1121.95,111
1183.42,111.6
1248.27,111.1
1316.66,109.8
1388.81,109
1464.91,109
1545.18,108.3
1629.84,106.6
1719.15,105.7
1813.35,105.6
1912.71,104.1
2017.52,102.5
2128.06,102.4
2244.67,100.5
2367.66,99.2
2497.4,98.6
2634.24,96.3
2778.58,96
2930.83,93.6
3091.43,93.3
3260.82,90.9
3439.49,90.5
3627.96,88.4
3826.75,87.2
4036.43,86.3
4257.6,84.2
4490.9,82.8
4736.97,82
4996.53,80.7
5270.31,79.1
5559.09,77.5
5863.7,76.1
6185,74.7
6523.9,73.5
6881.37,72.3
7258.43,70.9
7656.15,69
8075.66,67.7
8518.16,66.7
8984.91,64.7
9477.23,63.9
9996.53,62.2
10544.28,60.6
11122.05,59.4
11731.47,58.2
12374.29,56.7
13052.33,55.1
13767.52,53.7
14521.9,52.7
15317.62,50.9
16156.94,49.9
17042.24,48.5
17976.06,47.1
18961.04,45.7
20000,44.2
