# alt-18s rew SPL
freq,value
35,97.3
36.92,97.6
38.94,97.7
41.07,98.4
43.33,98.8
45.7,99
48.2,99.4
50.84,99.2
53.63,99.6
56.57,100.2
59.67,100.6
62.94,100.9
66.39,100.8
70.02,101.3
73.86,101.6
77.91,101.9
82.18,101.6
86.68,101.9
91.43,102.1
96.44,102.5
101.72,102.8
107.3,102.7
113.18,103
119.38,103.5
125.92,103.6
132.82,104.1
140.1,104.6
147.77,104.6
155.87,105.4
164.41,105.3
173.42,105.7
182.92,105.9
192.95,106.5
203.52,106.9
214.67,106.7
226.43,107.1
238.84,107.3
251.93,107.6
265.73,107.5
280.29,108
295.65,107.6
311.85,107.3
328.94,107.3
346.96,107.1
365.97,107.5
386.03,107.4
407.18,107.3
429.49,107.6
453.02,107.4
477.85,107.8
504.03,108.6
531.65,109
560.78,109
591.51,109
623.92,109.4
658.1,108.6
694.16,108.5
732.2,108.4
772.32,109
814.64,109.4
859.28,110.4
906.36,110.6
956.02,110.1
1008.41,109.7
1063.66,110.2
1121.95,110.7
1183.42,111.6
1248.27,111.3
1316.66,109.8
1388.81,109.2
1464.91,108.8
1545.18,108.3
1629.84,106.9
1719.15,105.5
1813.35,105.3
1912.71,104.4
2017.52,102.6
2128.06,102.3
2244.67,100.7
2367.66,99
2497.4,98.5
2634.24,96.1
2778.58,96
2930.83,93.6
3091.43,93.1
3260.82,90.8
3439.49,90.4
3627.96,88.2
3826.75,87.3
4036.43,86.5
4257.6,84.1
4490.9,82.6
4736.97,82
4996.53,80.6
5270.31,79.2
5559.09,77.8
5863.7,75.8
6185,74.9
6523.9,73.4
6881.37,72.4
7258.43,70.7
7656.15,69.2
8075.66,67.9
8518.16,66.6
8984.91,65
9477.23,64
9996.53,62.1
10544.28,60.7
11122.05,59.2
11731.47,57.9
12374.29,56.9
13052.33,55.4
13767.52,53.7
14521.9,52.5
15317.62,51
16156.94,50
17042.24,48.7
17976.06,47
18961.04,46
20000,44.1
