# default s1 SPL
freq,value
35,96.9
36.92,97.4
38.94,97.8
41.07,98.3
43.33,98.7
45.7,99.1
48.2,99.6
50.84,100
53.63,100.4
56.57,100.9
59.67,101.3
62.94,101.7
66.39,102.1
70.02,102.5
73.86,102.8
77.91,103.2
82.18,103.6
86.68,103.9
91.43,104.2
96.44,104.5
101.72,104.8
107.3,105.1
113.18,105.4
119.38,105.6
125.92,105.8
132.82,106
140.1,106.2
147.77,106.4
155.87,106.5
164.41,106.6
173.42,106.6
182.92,106.7
192.95,106.7
203.52,106.8
214.67,106.8
226.43,106.8
238.84,106.9
251.93,107
265.73,107.1
280.29,107.2
295.65,107.5
311.85,107.7
328.94,108.1
346.96,108.4
365.97,108.7
386.03,109
407.18,109.3
429.49,109.3
453.02,109.3
477.85,109.1
504.03,108.8
531.65,108.5
560.78,108.3
591.51,108.3
623.92,108.6
658.1,109.1
694.16,109.5
732.2,109.8
772.32,109.7
814.64,109.2
859.28,108.7
906.36,108.6
956.02,109
1008.41,109.6
1063.66,109.9
1121.95,109.5
1183.42,108.8
1248.27,108.8
1316.66,109.6
1388.81,109.9
1464.91,109.2
1545.18,108.8
1629.84,109.6
1719.15,109.9
1813.35,108.9
1912.71,109.2
2017.52,109.9
2128.06,109
2244.67,109.4
2367.66,109.7
2497.4,108.9
2634.24,109.9
2778.58,108.9
2930.83,109.8
3091.43,109
3260.82,109.9
3439.49,108.9
3627.96,109.8
3826.75,109.4
4036.43,109.1
4257.6,109.8
4490.9,109.6
4736.97,109.1
4996.53,109.1
5270.31,109.3
5559.09,109.5
5863.7,109.6
6185,109.6
6523.9,109.4
6881.37,109.2
7258.43,109.1
7656.15,109.5
8075.66,109.6
8518.16,109.1
8984.91,109.7
9477.23,109.1
9996.53,109.5
10544.28,109.6
11122.05,109.3
11731.47,109.2
12374.29,109.2
13052.33,109.4
13767.52,109.4
14521.9,108.9
15317.62,109.1
16156.94,108.5
17042.24,108.2
17976.06,107.8
18961.04,107.1
20000,106.4
