# fk-br-12 sim 1U BR
freq,value
20,83.7
20.73,84.3
21.49,84.9
22.28,85.5
23.1,86.1
23.94,86.7
24.82,87.3
25.73,87.8
26.67,88.4
27.65,89
28.66,89.5
29.71,90.1
30.8,90.7
31.93,91.2
33.1,91.7
34.31,92.3
35.57,92.8
36.87,93.3
38.22,93.8
39.62,94.3
41.07,94.8
42.58,95.2
44.13,95.7
45.75,96.1
47.43,96.6
49.16,96.9
50.97,97.3
52.83,97.6
54.77,97.9
56.77,98.1
58.85,98.2
61.01,98.3
63.25,98.4
65.56,98.4
67.96,98.4
70.45,98.4
73.03,98.4
75.71,98.5
78.48,98.5
81.36,98.5
84.34,98.6
87.43,98.6
90.63,98.7
93.95,98.7
97.39,98.8
100.96,98.8
104.66,98.8
108.49,98.8
112.47,98.9
116.59,98.9
120.86,98.9
125.29,98.9
129.88,98.9
134.63,98.9
139.57,98.9
144.68,98.9
149.98,99
155.47,99
161.17,99
167.07,99
173.19,99
179.54,99
186.11,99
192.93,99
200,99
