# fk-br-12b sim 1U BR
freq,value
20,84.4
20.73,85
21.49,85.6
22.28,86.2
23.1,86.8
23.94,87.4
24.82,87.9
25.73,88.5
26.67,89.1
27.65,89.7
28.66,90.2
29.71,90.8
30.8,91.3
31.93,91.8
33.1,92.4
34.31,92.9
35.57,93.4
36.87,93.9
38.22,94.4
39.62,94.9
41.07,95.3
42.58,95.8
44.13,96.2
45.75,96.7
47.43,97
49.16,97.4
50.97,97.7
52.83,97.9
54.77,98.1
56.77,98.2
58.85,98.3
61.01,98.4
63.25,98.4
65.56,98.4
67.96,98.4
70.45,98.4
73.03,98.4
75.71,98.5
78.48,98.5
81.36,98.6
84.34,98.6
87.43,98.7
90.63,98.7
93.95,98.8
97.39,98.8
100.96,98.8
104.66,98.8
108.49,98.9
112.47,98.9
116.59,98.9
120.86,98.9
125.29,98.9
129.88,98.9
134.63,98.9
139.57,98.9
144.68,99
149.98,99
155.47,99
161.17,99
167.07,99
173.19,99
179.54,99
186.11,99
192.93,99
200,99
