# fk-br-15-4ohm meas 1U
freq,value
20,84.6
20.73,85.2
21.49,85.8
22.28,86.3
23.1,86.9
23.94,87.5
24.82,88.1
25.73,88.7
26.67,89.2
27.65,89.8
28.66,90.4
29.71,90.9
30.8,91.5
31.93,92
33.1,92.5
34.31,93
35.57,93.6
36.87,94.1
38.22,94.6
39.62,95
41.07,95.5
42.58,96
44.13,96.4
45.75,96.7
47.43,97.1
49.16,97.3
50.97,97.5
52.83,97.7
54.77,97.8
56.77,97.9
58.85,97.9
61.01,97.9
63.25,97.9
65.56,98
67.96,98
70.45,98.1
73.03,98.1
75.71,98.2
78.48,98.3
81.36,98.3
84.34,98.4
87.43,98.4
90.63,98.4
93.95,98.5
97.39,98.5
100.96,98.5
104.66,98.6
108.49,98.6
112.47,98.6
116.59,98.6
120.86,98.6
125.29,98.6
129.88,98.6
134.63,98.6
139.57,98.7
144.68,98.7
149.98,98.7
155.47,98.7
161.17,98.7
167.07,98.7
173.19,98.7
179.54,98.7
186.11,98.7
192.93,98.7
200,98.7
