# fk-br-18 meas 1U
freq,value
20,88.6
20.73,89.2
21.49,89.8
22.28,90.4
23.1,90.9
23.94,91.5
24.82,92.1
25.73,92.6
26.67,93.2
27.65,93.7
28.66,94.2
29.71,94.8
30.8,95.3
31.93,95.8
33.1,96.3
34.31,96.8
35.57,97.3
36.87,97.7
38.22,98.1
39.62,98.5
41.07,98.9
42.58,99.2
44.13,99.4
45.75,99.6
47.43,99.7
49.16,99.8
50.97,99.9
52.83,99.9
54.77,99.9
56.77,100
58.85,100
61.01,100
63.25,100.1
65.56,100.2
67.96,100.2
70.45,100.3
73.03,100.3
75.71,100.4
78.48,100.4
81.36,100.5
84.34,100.5
87.43,100.5
90.63,100.5
93.95,100.6
97.39,100.6
100.96,100.6
104.66,100.6
108.49,100.6
112.47,100.6
116.59,100.6
120.86,100.7
125.29,100.7
129.88,100.7
134.63,100.7
139.57,100.7
144.68,100.7
149.98,100.7
155.47,100.7
161.17,100.7
167.07,100.7
173.19,100.7
179.54,100.7
186.11,100.7
192.93,100.7
200,100.7
