# fk-br-18x2b sim 1U BR
freq,value
20,90.4
20.73,91
21.49,91.5
22.28,92.1
23.1,92.7
23.94,93.2
24.82,93.7
25.73,94.2
26.67,94.8
27.65,95.3
28.66,95.8
29.71,96.2
30.8,96.7
31.93,97.2
33.1,97.6
34.31,98.1
35.57,98.5
36.87,98.9
38.22,99.3
39.62,99.6
41.07,99.9
42.58,100.1
44.13,100.3
45.75,100.4
47.43,100.5
49.16,100.5
50.97,100.5
52.83,100.5
54.77,100.5
56.77,100.5
58.85,100.5
61.01,100.5
63.25,100.6
65.56,100.6
67.96,100.7
70.45,100.7
73.03,100.8
75.71,100.8
78.48,100.8
81.36,100.8
84.34,100.9
87.43,100.9
90.63,100.9
93.95,100.9
97.39,100.9
100.96,100.9
104.66,100.9
108.49,100.9
112.47,101
116.59,101
120.86,101
125.29,101
129.88,101
134.63,101
139.57,101
144.68,101
149.98,101
155.47,101
161.17,101
167.07,101
173.19,101
179.54,101
186.11,101
192.93,101
200,101
