# fk-folded-18b meas 1U
freq,value
20,71.2
20.73,72.8
21.49,74.3
22.28,75.9
23.1,77.5
23.94,79
24.82,80.6
25.73,82.1
26.67,83.7
27.65,85.2
28.66,86.7
29.71,88.2
30.8,89.7
31.93,91.2
33.1,92.6
34.31,94
35.57,95.3
36.87,96.5
38.22,97.7
39.62,98.7
41.07,99.5
42.58,100.2
44.13,100.8
45.75,101.3
47.43,101.6
49.16,101.9
50.97,102.1
52.83,102.2
54.77,102.3
56.77,102.4
58.85,102.5
61.01,102.5
63.25,102.5
65.56,102.5
67.96,102.5
70.45,102.5
73.03,102.5
75.71,102.5
78.48,102.4
81.36,102.4
84.34,102.4
87.43,102.3
90.63,102.2
93.95,102.1
97.39,102
100.96,101.9
104.66,101.8
108.49,101.6
112.47,101.4
116.59,101.1
120.86,100.8
125.29,100.5
129.88,100.1
134.63,99.7
139.57,99.2
144.68,98.7
149.98,98.1
155.47,97.5
161.17,96.8
167.07,96.1
173.19,95.4
179.54,94.6
186.11,93.8
192.93,93
200,92.1
