# 1U impedance sim, Hornresp
freq,value
20,3.2
20.73,3.2
21.49,3.2
22.28,3.2
23.1,3.2
23.94,3.2
24.82,3.21
25.73,3.21
26.67,3.22
27.65,3.23
28.66,3.25
29.71,3.27
30.8,3.32
31.93,3.39
33.1,3.51
34.31,3.68
35.57,3.92
36.87,4.28
38.22,4.76
39.62,5.39
41.07,6.17
42.58,7.08
44.13,8.04
45.75,8.93
47.43,9.62
49.16,9.94
50.97,9.77
52.83,9.09
54.77,8
56.77,6.8
58.85,5.89
61.01,5.62
63.25,6.1
65.56,7.04
67.96,7.99
70.45,8.56
73.03,8.53
75.71,7.9
78.48,6.85
81.36,5.65
84.34,4.6
87.43,3.88
90.63,3.47
93.95,3.29
97.39,3.22
100.96,3.2
104.66,3.2
108.49,3.2
112.47,3.2
116.59,3.2
120.86,3.2
125.29,3.2
129.88,3.2
134.63,3.2
139.57,3.2
144.68,3.2
149.98,3.2
155.47,3.2
161.17,3.2
167.07,3.2
173.19,3.2
179.54,3.2
186.11,3.2
192.93,3.2
200,3.2
