# spl 1u
freq,value
20,81.3
20.73,81.9
21.49,82.5
22.28,83.1
23.1,83.8
23.94,84.4
24.82,85
25.73,85.6
26.67,86.2
27.65,86.8
28.66,87.4
29.71,88
30.8,88.6
31.93,89.2
33.1,89.8
34.31,90.3
35.57,90.9
36.87,91.5
38.22,92
39.62,92.6
41.07,93.1
42.58,93.7
44.13,94.2
45.75,94.7
47.43,95.2
49.16,95.7
50.97,96.2
52.83,96.7
54.77,97.2
56.77,97.6
58.85,98.1
61.01,98.5
63.25,98.9
65.56,99.2
67.96,99.6
70.45,99.9
73.03,100.1
75.71,100.3
78.48,100.4
81.36,100.4
84.34,100.5
87.43,100.5
90.63,100.5
93.95,100.5
97.39,100.5
100.96,100.5
104.66,100.5
108.49,100.6
112.47,100.6
116.59,100.7
120.86,100.7
125.29,100.7
129.88,100.8
134.63,100.8
139.57,100.8
144.68,100.9
149.98,100.9
155.47,100.9
161.17,100.9
167.07,100.9
173.19,100.9
179.54,100.9
186.11,100.9
192.93,101
200,101
