# spl 1u
freq,value
20,53.3
20.73,54.8
21.49,56.4
22.28,58
23.1,59.5
23.94,61.1
24.82,62.7
25.73,64.2
26.67,65.8
27.65,67.4
28.66,68.9
29.71,70.5
30.8,72
31.93,73.6
33.1,75.2
34.31,76.7
35.57,78.3
36.87,79.8
38.22,81.4
39.62,82.9
41.07,84.4
42.58,86
44.13,87.5
45.75,88.9
47.43,90.4
49.16,91.8
50.97,93.1
52.83,94.4
54.77,95.6
56.77,96.6
58.85,97.5
61.01,98.3
63.25,99
65.56,99.5
67.96,99.9
70.45,100.2
73.03,100.4
75.71,100.6
78.48,100.7
81.36,100.8
84.34,100.8
87.43,100.9
90.63,100.9
93.95,100.9
97.39,100.9
100.96,100.9
104.66,100.9
108.49,100.9
112.47,100.9
116.59,100.9
120.86,100.9
125.29,100.9
129.88,100.8
134.63,100.8
139.57,100.7
144.68,100.7
149.98,100.6
155.47,100.5
161.17,100.4
167.07,100.2
173.19,100.1
179.54,99.9
186.11,99.6
192.93,99.4
200,99.1
