# meas 1u
freq,value
40,75.5
42.59,76.6
45.35,77.7
48.29,78.8
51.42,79.8
54.75,80.9
58.3,82
62.07,83
66.09,84.1
70.38,85.1
74.93,86.2
79.79,87.2
84.96,88.2
90.46,89.2
96.32,90.1
102.56,91
109.21,91.9
116.28,92.7
123.82,93.5
131.84,94.2
140.38,94.9
149.48,95.5
159.16,96
169.47,96.4
180.45,96.8
192.14,97.1
204.59,97.4
217.84,97.6
231.96,97.8
246.98,97.9
262.98,98.1
280.02,98.2
298.16,98.2
317.48,98.3
338.05,98.3
359.95,98.4
383.27,98.4
408.1,98.4
434.54,98.4
462.69,98.5
492.67,98.5
524.58,98.5
558.57,98.5
594.76,98.5
633.29,98.5
674.32,98.5
718,98.5
764.52,98.5
814.05,98.5
866.79,98.5
922.95,98.5
982.74,98.5
1046.41,98.5
1114.2,98.5
1186.38,98.5
1263.25,98.5
1345.09,98.5
1432.23,98.5
1525.02,98.5
1623.82,98.5
1729.02,98.5
1841.03,98.5
1960.31,98.5
2087.31,98.5
2222.54,98.5
2366.52,98.4
2519.84,98.4
2683.09,98.3
2856.92,98.2
3042.01,98
3239.09,97.8
3448.93,97.3
3672.38,96.7
3910.3,95.9
4163.63,94.7
4433.37,93.3
4720.59,91.7
5026.42,89.9
5352.06,88
5698.8,86
6068,83.9
6461.13,81.7
6879.72,79.6
7325.42,77.4
7800.01,75.3
8305.34,73.1
8843.41,70.9
9416.34,68.7
10026.39,66.6
10675.96,64.4
11367.61,62.2
12104.07,60
12888.24,57.8
13723.22,55.7
14612.29,53.5
15558.96,51.3
16566.97,49.1
17640.27,46.9
18783.12,44.8
20000,42.6
