# spl 1u
freq,value
40,53.9
42.59,55
45.35,56.1
48.29,57.2
51.42,58.3
54.75,59.3
58.3,60.4
62.07,61.5
66.09,62.6
70.38,63.7
74.93,64.8
79.79,65.9
84.96,67
90.46,68.1
96.32,69.1
102.56,70.2
109.21,71.3
116.28,72.4
123.82,73.5
131.84,74.5
140.38,75.6
149.48,76.7
159.16,77.8
169.47,78.8
180.45,79.8
192.14,80.9
204.59,81.9
217.84,82.9
231.96,83.9
246.98,84.8
262.98,85.7
280.02,86.6
298.16,87.4
317.48,88.2
338.05,88.9
359.95,89.5
383.27,90.1
408.1,90.6
434.54,91
462.69,91.4
492.67,91.7
524.58,91.9
558.57,92.2
594.76,92.3
633.29,92.5
674.32,92.6
718,92.7
764.52,92.7
814.05,92.8
866.79,92.8
922.95,92.9
982.74,92.9
1046.41,92.9
1114.2,92.9
1186.38,93
1263.25,93
1345.09,93
1432.23,93
1525.02,93
1623.82,93
1729.02,93
1841.03,93
1960.31,93
2087.31,93
2222.54,93
2366.52,93
2519.84,93
2683.09,93
2856.92,93
3042.01,93
3239.09,93
3448.93,93
3672.38,93
3910.3,93
4163.63,93
4433.37,93
4720.59,92.9
5026.42,92.9
5352.06,92.8
5698.8,92.7
6068,92.5
6461.13,92.3
6879.72,91.9
7325.42,91.3
7800.01,90.4
8305.34,89.3
8843.41,87.9
9416.34,86.3
10026.39,84.5
10675.96,82.6
11367.61,80.5
12104.07,78.5
12888.24,76.3
13723.22,74.2
14612.29,72
15558.96,69.9
16566.97,67.7
17640.27,65.5
18783.12,63.3
20000,61.2
