# spl 1u
freq,value
40,69.9
42.59,70.9
45.35,72
48.29,73.1
51.42,74.2
54.75,75.3
58.3,76.4
62.07,77.4
66.09,78.5
70.38,79.6
74.93,80.6
79.79,81.7
84.96,82.7
90.46,83.8
96.32,84.8
102.56,85.8
109.21,86.8
116.28,87.7
123.82,88.6
131.84,89.5
140.38,90.3
149.48,91.1
159.16,91.8
169.47,92.4
180.45,93
192.14,93.5
204.59,94
217.84,94.3
231.96,94.7
246.98,94.9
262.98,95.1
280.02,95.3
298.16,95.5
317.48,95.6
338.05,95.7
359.95,95.7
383.27,95.8
408.1,95.8
434.54,95.9
462.69,95.9
492.67,95.9
524.58,95.9
558.57,96
594.76,96
633.29,96
674.32,96
718,96
764.52,96
814.05,96
866.79,96
922.95,96
982.74,96
1046.41,96
1114.2,96
1186.38,96
1263.25,96
1345.09,96
1432.23,96
1525.02,96
1623.82,96
1729.02,96
1841.03,96
1960.31,96
2087.31,96
2222.54,96
2366.52,96
2519.84,96
2683.09,96
2856.92,96
3042.01,95.9
3239.09,95.9
3448.93,95.8
3672.38,95.6
3910.3,95.4
4163.63,95.1
4433.37,94.6
4720.59,93.9
5026.42,92.9
5352.06,91.6
5698.8,90.1
6068,88.4
6461.13,86.6
6879.72,84.6
7325.42,82.5
7800.01,80.4
8305.34,78.3
8843.41,76.1
9416.34,74
10026.39,71.8
10675.96,69.6
11367.61,67.5
12104.07,65.3
12888.24,63.1
13723.22,60.9
14612.29,58.7
15558.96,56.6
16566.97,54.4
17640.27,52.2
18783.12,50
20000,47.8
