# 1U single cab, Hornresp sim
freq,value
20,88.1
20.73,88.4
21.49,88.6
22.28,88.9
23.1,89.2
23.94,89.4
24.82,89.7
25.73,89.9
26.67,90.2
27.65,90.4
28.66,90.7
29.71,90.9
30.8,91.1
31.93,91.4
33.1,91.6
34.31,91.8
35.57,92
36.87,92.2
38.22,92.4
39.62,92.7
41.07,92.8
42.58,93
44.13,93.2
45.75,93.4
47.43,93.6
49.16,93.7
50.97,93.9
52.83,94.1
54.77,94.2
56.77,94.4
58.85,94.5
61.01,94.6
63.25,94.8
65.56,94.9
67.96,95
70.45,95.1
73.03,95.2
75.71,95.3
78.48,95.4
81.36,95.5
84.34,95.6
87.43,95.7
90.63,95.8
93.95,95.8
97.39,95.9
100.96,96
104.66,96
108.49,96.1
112.47,96.2
116.59,96.2
120.86,96.3
125.29,96.3
129.88,96.4
134.63,96.4
139.57,96.4
144.68,96.5
149.98,96.5
155.47,96.5
161.17,96.6
167.07,96.6
173.19,96.6
179.54,96.7
186.11,96.7
192.93,96.7
200,96.7
