# fk-sealed-15b meas 1U
freq,value
20,87.5
20.73,87.8
21.49,88
22.28,88.3
23.1,88.6
23.94,88.8
24.82,89.1
25.73,89.4
26.67,89.6
27.65,89.9
28.66,90.1
29.71,90.4
30.8,90.6
31.93,90.8
33.1,91.1
34.31,91.3
35.57,91.5
36.87,91.7
38.22,91.9
39.62,92.1
41.07,92.3
42.58,92.5
44.13,92.7
45.75,92.9
47.43,93.1
49.16,93.3
50.97,93.4
52.83,93.6
54.77,93.7
56.77,93.9
58.85,94
61.01,94.2
63.25,94.3
65.56,94.4
67.96,94.6
70.45,94.7
73.03,94.8
75.71,94.9
78.48,95
81.36,95.1
84.34,95.2
87.43,95.3
90.63,95.4
93.95,95.5
97.39,95.5
100.96,95.6
104.66,95.7
108.49,95.7
112.47,95.8
116.59,95.9
120.86,95.9
125.29,96
129.88,96
134.63,96.1
139.57,96.1
144.68,96.1
149.98,96.2
155.47,96.2
161.17,96.2
167.07,96.3
173.19,96.3
179.54,96.3
186.11,96.3
192.93,96.4
200,96.4
