# 1U group delay measured, REW
freq,value
20,16.37
20.73,15.54
21.49,14.74
22.28,13.96
23.1,13.21
23.94,12.5
24.82,11.8
25.73,11.14
26.67,10.51
27.65,9.89
28.66,9.29
29.71,8.73
30.8,8.2
31.93,7.68
33.1,7.18
34.31,6.71
35.57,6.26
36.87,5.84
38.22,5.43
39.62,5.06
41.07,4.7
42.58,4.36
44.13,4.04
45.75,3.73
47.43,3.44
49.16,3.18
50.97,2.93
52.83,2.7
54.77,2.48
56.77,2.28
58.85,2.09
61.01,1.91
63.25,1.75
65.56,1.61
67.96,1.46
70.45,1.34
73.03,1.22
75.71,1.11
78.48,1.01
81.36,0.92
84.34,0.84
87.43,0.76
90.63,0.69
93.95,0.63
97.39,0.57
100.96,0.52
104.66,0.46
108.49,0.42
112.47,0.39
116.59,0.34
120.86,0.33
125.29,0.33
129.88,0.33
134.63,0.33
139.57,0.33
144.68,0.33
149.98,0.33
155.47,0.33
161.17,0.33
167.07,0.33
173.19,0.33
179.54,0.33
186.11,0.33
192.93,0.33
200,0.33
