# 1U power compression measured, REW
freq,value
20,86
20.73,86.6
21.49,87.2
22.28,87.8
23.1,88.3
23.94,88.9
24.82,89.4
25.73,90
26.67,90.5
27.65,91.1
28.66,91.6
29.71,92.1
30.8,92.6
31.93,93.1
33.1,93.6
34.31,94
35.57,94.5
36.87,94.9
38.22,95.3
39.62,95.7
41.07,96
42.58,96.3
44.13,96.5
45.75,96.6
47.43,96.7
49.16,96.7
50.97,96.8
52.83,96.8
54.77,96.8
56.77,96.8
58.85,96.9
61.01,96.9
63.25,97
65.56,97
67.96,97.1
70.45,97.1
73.03,97.2
75.71,97.2
78.48,97.3
81.36,97.3
84.34,97.3
87.43,97.3
90.63,97.4
93.95,97.4
97.39,97.4
100.96,97.4
104.66,97.4
108.49,97.4
112.47,97.4
116.59,97.5
120.86,97.5
125.29,97.5
129.88,97.5
134.63,97.5
139.57,97.5
144.68,97.5
149.98,97.5
155.47,97.5
161.17,97.5
167.07,97.5
173.19,97.5
179.54,97.5
186.11,97.5
192.93,97.5
200,97.5
