# 8U stacked measured, REW
freq,value
20,107.1
20.73,107.7
21.49,108.3
22.28,108.9
23.1,109.4
23.94,110
24.82,110.5
25.73,111.1
26.67,111.6
27.65,112.2
28.66,112.7
29.71,113.2
30.8,113.7
31.93,114.2
33.1,114.7
34.31,115.1
35.57,115.6
36.87,116
38.22,116.4
39.62,116.8
41.07,117.1
42.58,117.4
44.13,117.6
45.75,117.7
47.43,117.8
49.16,117.8
50.97,117.9
52.83,117.9
54.77,117.9
56.77,117.9
58.85,118
61.01,118
63.25,118.1
65.56,118.1
67.96,118.2
70.45,118.2
73.03,118.3
75.71,118.3
78.48,118.4
81.36,118.4
84.34,118.4
87.43,118.4
90.63,118.5
93.95,118.5
97.39,118.5
100.96,118.5
104.66,118.5
108.49,118.5
112.47,118.5
116.59,118.6
120.86,118.6
125.29,118.6
129.88,118.6
134.63,118.6
139.57,118.6
144.68,118.6
149.98,118.6
155.47,118.6
161.17,118.6
167.07,118.6
173.19,118.6
179.54,118.6
186.11,118.6
192.93,118.6
200,118.6
